"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"112","Jason Kapono","SF","26","TOR","5","0","30.4","6.2","10.6","0.585","2.6","4.8","0.542","3.6","5.8","0.621","0.708","0.6","0.8","0.75","0.4","2.2","2.6","0.8","0.4","0","0.4","1.8","15.6","1",2008
"113","Coby Karl","SG","24","LAL","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","14",2008
"114","Jason Kidd*","PG","34","DAL","5","5","36","3.2","7.6","0.421","1.2","2.6","0.462","2","5","0.4","0.5","1","1.6","0.625","1.6","4.8","6.4","6.8","1.4","0.4","1.8","2.4","8.6","1",2008
"115","Andrei Kirilenko","SF","26","UTA","12","12","32.3","4.3","9.5","0.447","0.4","1.8","0.227","3.8","7.7","0.5","0.469","2.1","2.9","0.714","1.3","2.2","3.4","2.5","1.5","1.7","1.5","3.8","11","6",2008
"116","Linas Kleiza","SF","23","DEN","4","3","30.5","5.5","10.3","0.537","0.8","3.5","0.214","4.8","6.8","0.704","0.573","2.3","3.3","0.692","2","4.5","6.5","0.8","0.3","0","1.3","2.8","14","0",2008
"117","Kyle Korver","SG","26","UTA","12","0","21.6","2.5","6.1","0.411","0.9","3.2","0.289","1.6","2.9","0.543","0.486","1.9","2.1","0.92","0.4","1.8","2.2","0.6","0.3","0.7","0.7","2.3","7.8","6",2008
"118","Carl Landry","PF","24","HOU","6","0","17.7","1.8","4.3","0.423","0","0","0","1.8","4.3","0.423","0.423","2","2.7","0.75","2.5","2.2","4.7","0","1.2","0.5","0.3","1.3","5.7","2",2008
"119","Acie Law","PG","23","ATL","7","0","8.7","0.9","1.1","0.75","0","0","0","0.9","1.1","0.75","0.75","1.3","1.4","0.9","0","0.3","0.3","1.1","0.3","0","1.1","0.7","3","3",2008
"120","Rashard Lewis","PF","28","ORL","10","10","41.7","7.1","16.3","0.436","2.1","6.8","0.309","5","9.5","0.526","0.5","3.2","3.9","0.821","2.4","4.8","7.2","3.4","1.1","0.5","2.3","1.8","19.5","5",2008
"121","Tyronn Lue","PG","30","DAL","2","0","1","0","0.5","0","0","0","0","0","0.5","0","0","0","0","0","0.5","0","0.5","0.5","0","0","0","0","0","1",2008
"122","Sean Marks","C","32","PHO","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",2008
"123","Kenyon Martin","PF","30","DEN","4","4","29.5","3.8","8.5","0.441","0","0","0","3.8","8.5","0.441","0.441","1.3","2","0.625","3.3","3","6.3","1.3","1","0.5","2.3","5","8.8","0",2008
"124","Roger Mason","PG","27","WAS","6","0","21.5","3.2","7.8","0.404","0.7","2.8","0.235","2.5","5","0.5","0.447","1","1.3","0.75","0","0.8","0.8","1","0.5","0.2","0.3","1.8","8","2",2008
"125","Jason Maxiell","C","24","DET","17","6","21.8","2.4","3.8","0.625","0","0","0","2.4","3.8","0.625","0.625","0.9","1.9","0.469","1.2","2.8","4","0.9","0.9","1.3","0.6","2.8","5.6","10",2008
"127","Antonio McDyess","PF","33","DET","17","11","27.5","3.8","7","0.538","0","0","0","3.8","7","0.538","0.538","1.4","1.6","0.821","2.8","4.6","7.4","0.9","0.6","0.5","1.2","3.8","8.9","10",2008
"128","Tracy McGrady*","SG","28","HOU","6","6","41.2","10.3","24.3","0.425","0.8","4","0.208","9.5","20.3","0.467","0.442","5.5","8.8","0.623","1.2","7","8.2","6.8","1.5","0.8","3","1.3","27","2",2008
"129","Dominic McGuire","SG","22","WAS","3","0","5","0","0","0","0","0","0","0","0","0","0","0.3","0.7","0.5","0.3","0.7","1","0.3","0.3","0.3","0","0.3","0.3","2",2008
"130","Chris Mihm","C","28","LAL","1","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","14",2008
"131","C.J. Miles","SG","20","UTA","7","0","3.7","0.7","2","0.357","0.3","1.1","0.25","0.4","0.9","0.5","0.429","0","0","0","0.1","0.6","0.7","0","0.3","0","0.3","0.6","1.7","6",2008
"132","Andre Miller","PG","31","PHI","6","6","38.2","6.5","14.8","0.438","0","0.5","0","6.5","14.3","0.453","0.438","2.3","3.7","0.636","1.2","2","3.2","3.3","0.8","0","2.3","2","15.3","2",2008
"133","Paul Millsap","PF","22","UTA","12","0","17.5","2.7","5.2","0.516","0","0.1","0","2.7","5.1","0.525","0.516","1.1","2.1","0.52","1.9","2","3.9","0.3","0.6","1.3","0.8","3.1","6.4","6",2008
"134","Jamario Moon","SF","27","TOR","5","3","20.8","2.2","5.8","0.379","0.8","2.2","0.364","1.4","3.6","0.389","0.448","0.2","0.2","1","1.4","3.4","4.8","0.8","1.2","0.6","0.4","1.2","5.4","1",2008
"135","Dikembe Mutombo*","C","41","HOU","6","6","20.5","1.3","2.2","0.615","0","0","0","1.3","2.2","0.615","0.615","1.2","1.8","0.636","1.7","4.8","6.5","0.3","0.2","1.8","0.2","1.7","3.8","2",2008
"136","Eduardo Nájera","PF","31","DEN","4","0","19.5","1.8","3.5","0.5","0.5","1.3","0.4","1.3","2.3","0.556","0.571","0","0","0","1.3","2","3.3","1.5","0.8","0.3","1.3","3.8","4","0",2008
"137","Steve Nash*","PG","33","PHO","5","5","36.6","6.4","14","0.457","1.2","4","0.3","5.2","10","0.52","0.5","2.2","2.4","0.917","0.2","2.6","2.8","7.8","0.4","0.2","2.4","2","16.2","1",2008
"138","Jameer Nelson","PG","25","ORL","10","10","33.3","5.7","11.3","0.504","2","4.1","0.488","3.7","7.2","0.514","0.593","2.8","3.7","0.757","0.4","3.7","4.1","4.7","0.3","0.2","2.1","4.3","16.2","5",2008
"139","Rasho Nesterovic","C","31","TOR","5","2","15.4","2.2","4.4","0.5","0","0","0","2.2","4.4","0.5","0.5","0.2","0.4","0.5","0.6","2","2.6","0.6","0.2","0.4","1","2.8","4.6","1",2008
"140","Ira Newble","SF","33","LAL","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14",2008
"141","Steve Novak","SF","24","HOU","3","0","7","1","1.3","0.75","0.7","1","0.667","0.3","0.3","1","1","0","0","0","0.3","0.3","0.7","0","0","0.3","0","0.7","2.7","2",2008
"142","Dirk Nowitzki","PF","29","DAL","5","5","42.2","8.6","18.2","0.473","1.2","3.6","0.333","7.4","14.6","0.507","0.505","8.4","10.4","0.808","2","10","12","4","0.2","1.4","2","2.6","26.8","1",2008
"143","Shaquille O'Neal*","C","35","PHO","5","5","30","4.4","10","0.44","0","0","0","4.4","10","0.44","0.44","6.4","12.8","0.5","2.6","6.6","9.2","1","1","2.6","1.8","4.2","15.2","1",2008
"144","Fabricio Oberto","PF","32","SAS","17","9","19.5","1.6","2.7","0.609","0","0","0","1.6","2.7","0.609","0.609","0.4","0.6","0.7","0.9","3.3","4.2","1.2","0.4","0.3","0.8","2.8","3.7","9",2008
"145","Lamar Odom","PF","28","LAL","21","21","37.4","5.1","10.4","0.491","0.1","0.5","0.273","5","9.9","0.502","0.498","4","6","0.661","2.2","7.7","10","3","0.7","1.3","2.2","3.4","14.3","14",2008
"146","Mehmet Okur","C","28","UTA","12","12","38.5","5.5","13","0.423","1.6","4.3","0.373","3.9","8.8","0.448","0.484","2.8","3.7","0.773","2.8","8.9","11.8","1.9","0.7","0.7","1.6","3.1","15.4","6",2008
"148","Kevin Ollie","SG","35","PHI","3","0","6.3","0.3","1.3","0.25","0","0","0","0.3","1.3","0.25","0.25","0.7","0.7","1","0","0.3","0.3","1","0.7","0","0","0.3","1.3","2",2008
"149","Zaza Pachulia","C","23","ATL","7","0","15","1","3.6","0.28","0","0.1","0","1","3.4","0.292","0.28","2.1","3","0.714","1.3","1.6","2.9","0.3","0.3","0","1.3","3.1","4.1","3",2008
"150","Jannero Pargo","SG","28","NOH","12","0","22.1","3.8","9.7","0.388","1.3","3.6","0.349","2.5","6.1","0.411","0.453","1.4","2","0.708","0.4","2.1","2.5","2.3","1","0.2","0.9","1.8","10.2","7",2008
"151","Anthony Parker","SG","32","TOR","5","5","39.2","4","9.8","0.408","1","3.4","0.294","3","6.4","0.469","0.459","2.4","2.8","0.857","0.8","5.2","6","2","0.8","0.4","0.8","2.4","11.4","1",2008
"152","Tony Parker","PG","25","SAS","17","17","38.5","8.9","18","0.497","0.4","1.2","0.35","8.5","16.8","0.507","0.508","4.1","5.5","0.753","0.6","3.1","3.7","6.1","0.9","0.1","2.9","2.2","22.4","9",2008
"153","Chris Paul","PG","22","NOH","12","12","40.5","9.3","18.4","0.502","0.4","1.8","0.238","8.8","16.7","0.53","0.514","5.2","6.6","0.785","1.3","3.6","4.9","11.3","2.3","0.2","1.8","3.6","24.1","7",2008
"154","Sasha Pavlovic","SG","24","CLE","8","0","13.9","1.3","3.3","0.385","0.5","1.1","0.444","0.8","2.1","0.353","0.462","0.5","0.8","0.667","0.8","0.5","1.3","0.1","0.3","0","0.3","2.1","3.5","7",2008
"155","Oleksiy Pecherov","C","22","WAS","3","0","2.7","0","0.3","0","0","0","0","0","0.3","0","0","0.7","0.7","1","0","0.3","0.3","0","0.3","0.3","0","0","0.7","2",2008
"156","Kendrick Perkins","C","23","BOS","25","25","25.2","2.5","4.2","0.585","0","0","0","2.5","4.2","0.59","0.585","1.6","2.4","0.678","2.1","4","6.1","0.5","0.6","1.3","1.2","3.6","6.6","16",2008
"157","Morris Peterson","SG","30","NOH","12","12","23.1","2.8","5.7","0.485","1.3","2.8","0.471","1.4","2.8","0.5","0.603","0.3","0.5","0.667","0.3","2.3","2.6","0.6","0.5","0.3","0.4","2.4","7.2","7",2008
"158","Eric Piatkowski","SF","37","PHO","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1",2008
"159","Paul Pierce","SF","30","BOS","26","26","38.1","6.3","14.2","0.441","1.7","4.6","0.361","4.6","9.7","0.478","0.499","5.5","6.8","0.802","0.8","4.2","5","4.6","1.1","0.3","3.2","3.5","19.7","16",2008
"160","James Posey","PF","31","BOS","26","0","22","2","4.6","0.437","1.3","3.4","0.398","0.7","1.2","0.548","0.584","1.3","1.5","0.875","0.5","3.1","3.6","1.1","1","0.3","0.5","2.3","6.7","16",2008
"161","Leon Powe","C","24","BOS","23","1","11.7","1.6","3.2","0.493","0","0","0","1.6","3.2","0.493","0.493","1.9","2.9","0.667","1.4","1.3","2.7","0.2","0","0.1","0.5","2","5","16",2008
"162","Ronnie Price","PG","24","UTA","12","0","5.7","0.8","2.6","0.323","0.3","1.2","0.214","0.6","1.4","0.412","0.371","0.8","1.1","0.769","0.1","0.3","0.3","0.9","0.5","0.2","0.5","0.5","2.8","6",2008
"163","Tayshaun Prince","SF","27","DET","17","17","39.5","5.9","12.2","0.481","0.5","1.5","0.32","5.4","10.8","0.503","0.5","1.6","2","0.794","1.9","3.6","5.5","3.2","0.8","0.5","1.9","1.8","13.8","10",2008
"164","Vladimir Radmanovic","SF","27","LAL","21","21","22.9","3.2","7.2","0.444","1.4","3.7","0.372","1.8","3.5","0.521","0.54","0.2","0.3","0.833","1.1","2.7","3.8","1.5","0.6","0","1","2.7","8","14",2008
"165","Shavlik Randolph","PF","24","PHI","2","0","2","0","0.5","0","0","0","0","0","0.5","0","0","1.5","2","0.75","0","0","0","0","0","0","0","0.5","1.5","2",2008
"166","Theo Ratliff","C","34","DET","12","0","10.9","0.5","1","0.5","0","0","0","0.5","1","0.5","0.5","0.3","0.7","0.5","1.2","1.1","2.3","0.1","0.1","0.9","0.3","1.9","1.3","10",2008
"167","J.J. Redick","SG","23","ORL","2","0","5","0","2","0","0","1.5","0","0","0.5","0","0","0","0","0","0","0.5","0.5","0","0","0","0","0.5","0","5",2008
"169","Jeremy Richardson","SF","23","ATL","3","0","2","0.3","1.3","0.25","0","0","0","0.3","1.3","0.25","0.25","0","0","0","0","0","0","0","0","0","0","0.3","0.7","3",2008
"170","Rajon Rondo","PG","21","BOS","26","26","32","4.1","10.1","0.407","0.2","0.8","0.25","3.9","9.3","0.42","0.416","1.8","2.6","0.691","1.5","2.6","4.1","6.6","1.7","0.3","1.8","2.8","10.2","16",2008
"171","Luis Scola","PF","27","HOU","6","6","36.7","5","11.2","0.448","0","0.2","0","5","11","0.455","0.448","4","5.8","0.686","4","5.3","9.3","1.3","0.7","0.2","2","5","14","2",2008
"172","Brian Skinner","C","31","PHO","4","0","5.3","0.5","1","0.5","0","0","0","0.5","1","0.5","0.5","1","2","0.5","0","0.8","0.8","0","0","0.8","0","1","2","1",2008
"173","J.R. Smith","SG","22","DEN","4","0","27","5.8","10.8","0.535","1.8","5.5","0.318","4","5.3","0.762","0.616","5","6","0.833","0.3","1.5","1.8","1.8","1","0","1.3","3","18.3","0",2008
"174","Jason Smith","PF","21","PHI","6","0","13.7","1.3","3","0.444","0","0.2","0","1.3","2.8","0.471","0.444","0.7","0.7","1","0.7","1.8","2.5","0.5","0.2","0.8","0.3","0.8","3.3","2",2008
"175","Joe Smith","PF","32","CLE","13","0","20.2","2.8","5.7","0.486","0","0.1","0","2.8","5.6","0.493","0.486","1.1","1.7","0.636","1.5","3.1","4.6","0.5","0.4","0.5","0.5","3.2","6.6","7",2008
"176","Josh Smith","PF","22","ATL","7","7","33.9","5","12.6","0.398","0.4","2.6","0.167","4.6","10","0.457","0.415","5.3","6.3","0.841","1","5.4","6.4","2.9","1.7","2.9","3.7","3.7","15.7","3",2008
"177","Darius Songaila","C","29","WAS","5","0","15.4","1.6","3.8","0.421","0","0","0","1.6","3.8","0.421","0.421","2.6","3","0.867","0.8","1.8","2.6","0.8","0.2","0","1.2","3.6","5.8","2",2008
"178","Jerry Stackhouse","SG","33","DAL","5","2","20.4","2.4","7.6","0.316","0.4","2.4","0.167","2","5.2","0.385","0.342","1","1","1","0.8","2.4","3.2","1.2","0.2","0","1.4","1.8","6.2","1",2008
"179","DeShawn Stevenson","SG","26","WAS","6","6","32.7","3.7","10","0.367","2.3","6","0.389","1.3","4","0.333","0.483","2.7","3","0.889","0.3","1.8","2.2","3","1","0","1.5","1.8","12.3","2",2008
"180","Peja Stojakovic","SF","30","NOH","12","12","37.9","4.8","11.1","0.436","2.3","4.3","0.549","2.5","6.8","0.366","0.541","2.1","2.3","0.926","0.5","4.9","5.4","0.5","0.5","0.1","0.7","1.6","14.1","7",2008
"181","Damon Stoudamire","PG","34","SAS","7","0","5","0.7","2.1","0.333","0.1","0.6","0.25","0.6","1.6","0.364","0.367","0.3","0.4","0.667","0.3","0.7","1","0.3","0.1","0","0.1","0","1.9","9",2008
"182","Salim Stoudamire","PG","25","ATL","3","0","9.3","1.3","3","0.444","0.7","2","0.333","0.7","1","0.667","0.556","0.7","0.7","1","0","0.3","0.3","0","0.3","0","1","0.7","4","3",2008
"183","Amar'e Stoudemire","C","25","PHO","5","5","40.8","9.6","19.8","0.485","0.2","0.8","0.25","9.4","19","0.495","0.49","3.8","6","0.633","3","6","9","0.4","1.4","2.4","2.8","3.8","23.2","1",2008
"184","D.J. Strawberry","SG","22","PHO","1","0","5","0","4","0","0","1","0","0","3","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1",2008
"185","Rodney Stuckey","PG","21","DET","17","2","22.4","2.5","6.8","0.371","0.1","0.4","0.286","2.4","6.4","0.376","0.379","3","3.4","0.879","0.6","1.2","1.9","3.4","1.1","0.1","1.4","2.1","8.2","10",2008
"186","Wally Szczerbiak","SF","30","CLE","13","13","28.8","3.6","9.6","0.376","1.5","4.8","0.323","2.1","4.8","0.429","0.456","2","2.2","0.929","0.3","1.5","1.8","1.5","0.2","0.1","0.8","2.5","10.8","7",2008
"187","Jason Terry","SG","30","DAL","5","3","36","5.2","12","0.433","2.8","6.4","0.438","2.4","5.6","0.429","0.55","2.6","3","0.867","0.2","1.4","1.6","4.8","0.4","0.2","1","3","15.8","1",2008
"188","Billy Thomas","SF","32","CLE","3","0","2.7","0.3","0.7","0.5","0.3","0.7","0.5","0","0","0","0.75","0","0","0","0","0.3","0.3","0.3","0.3","0","0","0","1","7",2008
"190","Kurt Thomas","PF","35","SAS","17","8","15.8","1.9","4.1","0.457","0","0","0","1.9","4.1","0.457","0.457","0.3","0.4","0.714","1.5","3.4","4.9","0.4","0.1","0.4","0.8","2.7","4.1","9",2008
"191","Ronny Turiaf","C","25","LAL","19","0","9.8","0.7","1.9","0.389","0","0","0","0.7","1.9","0.389","0.389","0.5","0.9","0.588","0.3","1.1","1.4","0.3","0.1","0.9","0.5","2.2","2","14",2008
"192","Hedo Türkoglu","SF","28","ORL","10","10","39.9","6.3","14.1","0.447","1","3.5","0.286","5.3","10.6","0.5","0.482","3.9","4.6","0.848","1.4","5","6.4","5.5","0.8","0.2","3.8","3.5","17.5","5",2008
"193","Ime Udoka","PF","30","SAS","16","0","14.8","2.1","4.4","0.465","1","2.5","0.4","1.1","1.9","0.548","0.577","0.3","0.4","0.714","0.4","2.5","2.9","1.1","0.7","0.1","0.7","1.6","5.4","9",2008
"194","Anderson Varejão","C","25","CLE","13","0","18.5","1.7","4.2","0.407","0","0","0","1.7","4.2","0.407","0.407","0.7","1.6","0.429","1.5","3.6","5.2","0.7","0.6","0.1","0.7","2.3","4.1","7",2008
"195","Jacque Vaughn","PG","32","SAS","14","0","6.5","0.4","1.6","0.273","0","0.1","0","0.4","1.5","0.286","0.273","0","0","0","0.1","0.5","0.6","0.6","0.1","0","0.5","1.2","0.9","9",2008
"196","Sasha Vujacic","SG","23","LAL","21","0","21.7","2.6","6.6","0.399","1.5","3.8","0.392","1.1","2.8","0.407","0.511","1.4","1.7","0.857","0.4","1.8","2.2","0.8","0.6","0.2","0.9","2.1","8.1","14",2008
