"","Player","psc","PL"
"232","Paul Arizin",0.261238998983488,0.217449686074052
"233","Eddie Jones",0.261227055861902,0.134430718248267
"234","Charles Smith",0.261076699733541,0.125731395190738
"235","Doc Rivers",0.260780891596935,0.151632850661853
"236","Draymond Green",0.260457960405985,0.396982862517298
"237","Randy Smith",0.260448298126847,0.053369937384984
"238","Kelly Tripucka",0.260439957951111,0.0448254251666926
"239","Greg Ballard",0.260058399980692,0.0907183838333567
"240","Hal Greer",0.25992200075473,0.325688038698008
"241","Dolph Schayes",0.259890706559436,0.416006028905899
"242","Monta Ellis",0.259862802775021,0.0405205822384944
"243","Kyrie Irving",0.259850954760235,0.231674056012971
"244","Brandon Roy",0.259463820953745,0.0201563025726283
"245","Nene Hilario",0.259055009607328,0.144251461203612
"246","Maurice Lucas",0.255684649110155,0.189065173525671
"247","Hot Rod Williams",0.255403283639356,0.0844477378479171
"248","Billy Knight",0.254852497371956,0.00246215404980606
"249","Glenn Robinson",0.25465812435809,0.0884877480027681
"250","Tony Parker",0.254466260145527,0.584817153050925
"251","Joakim Noah",0.253836214328159,0.104592756459122
"252","Maurice Cheeks",0.252806257645195,0.36374063517952
"253","Lou Hudson",0.252414167486466,0.140112673929249
"254","Jerry Lucas",0.25204159228539,0.157831545994683
"255","Luol Deng",0.251368018498712,0.132136259284989
"256","Swen Nater",0.250606122396954,0.0227125384706766
"257","Jim Paxson",0.248594498756234,0.0684298384547632
"258","Clarence Weatherspoon",0.248502106278103,0.0198427508413334
"259","Orlando Woolridge",0.246700169091287,0.0536866444823184
"260","Mark Price",0.24594924868851,0.086007827977351
"261","Cliff Hagan",0.244423142027993,0.406163745212409
"262","Rony Seikaly",0.2432877085871,0.012886613108916
"263","Rodney McCray",0.243268218177021,0.0997868665864289
"264","Earl Monroe",0.242366246640962,0.197366919170685
"265","Byron Scott",0.240266298627711,0.444783194895602
"266","Greg Monroe",0.239642534090662,0.0382425767833547
"267","Bill Walton",0.239315093137222,0.158025313347033
"268","Herb Williams",0.238615485823889,0.0516142983164075
"269","Dave Greenwood",0.238134786263381,0.0337585309787436
"270","Lenny Wilkens",0.236866502270543,0.211348221372622
"271","Joel Embiid",0.236497132663438,0.0648102165121804
"272","Mike Gminski",0.236300455517523,0.0323176246744438
"273","Chet Walker",0.234651396482189,0.287972037766868
"274","Connie Hawkins",0.234600139552604,0.0252612967724572
"275","Mehmet Okur",0.232755712971898,0.117483693560319
"276","Bob Love",0.230114805079516,0.114344948825819
"277","Brad Miller",0.228491577094954,0.0627562392766319
"278","Arvydas Sabonis",0.228262288749308,0.0938984660717503
"279","Jay Vincent",0.227328209042331,0.0567725882577509
"280","Roy Hinson",0.226753196810972,0.0128402119036456
"281","Gordon Hayward",0.226576843874101,0.03350493412023
"282","Danny Granger",0.22591162760785,0.0425280108439124
"283","Archie Clark",0.225783287390896,0.130813403223759
"284","Joe Dumars",0.225652235719805,0.279083597119264
"285","Darryl Dawkins",0.224054052158353,0.263884679967861
"286","Mike Bibby",0.224052120163586,0.182171092967165
"287","Jason Richardson",0.223805280467888,0.0722339095420197
"288","Sam Lacey",0.223773581989291,0.0579884878425421
"289","Joe Johnson",0.22362433877392,0.204569313818261
"290","Calvin Murphy",0.223042557683206,0.120982871058822
"291","Corey Maggette",0.221265476208686,0.0268914273286975
"292","Wes Unseld",0.218602590927202,0.26445367490009
"293","Marcus Camby",0.218600779654014,0.10823788161908
"294","Mark Jackson",0.21727353058057,0.22998306930912
"295","Wayman Tisdale",0.217082520841623,0.0211944863457779
