"","Player","psc"
"238","Greg Ballard",0.260058399980692
"239","Hal Greer*",0.25992200075473
"240","Dolph Schayes*",0.259890706559436
"241","Monta Ellis",0.259862802775021
"242","Kyrie Irving",0.259850954760235
"243","Brandon Roy",0.259463820953745
"244","Nen<ea>",0.259055009607328
"245","Maurice Lucas",0.255684649110155
"246","Hot Rod Williams",0.255403283639356
"247","Billy Knight",0.254852497371956
"248","Glenn Robinson",0.25465812435809
"249","Tony Parker",0.254466260145527
"250","Joakim Noah",0.253836214328159
"251","Maurice Cheeks*",0.252806257645195
"252","Lou Hudson",0.252414167486466
"253","Jerry Lucas*",0.25204159228539
"254","Luol Deng",0.251368018498712
"255","Swen Nater",0.250606122396954
"256","Jim Paxson",0.248594498756234
"257","Clarence Weatherspoon",0.248502106278103
"258","Orlando Woolridge",0.246700169091287
"259","Mark Price",0.24594924868851
"260","Cliff Hagan*",0.244423142027993
"261","Rony Seikaly",0.2432877085871
"262","Rodney McCray",0.243268218177021
"263","Earl Monroe*",0.242366246640962
"264","Byron Scott",0.240266298627711
"265","Greg Monroe",0.239642534090662
"266","Bill Walton*",0.239315093137222
"267","Herb Williams",0.238615485823889
"268","Dave Greenwood",0.238134786263381
"269","Lenny Wilkens*",0.236866502270543
"270","Joel Embiid",0.236497132663438
"271","Mike Gminski",0.236300455517523
"272","Chet Walker*",0.234651396482189
"273","Connie Hawkins*",0.234600139552604
"274","Mehmet Okur",0.232755712971898
"275","Bob Love",0.230114805079516
"276","Brad Miller",0.228491577094954
"277","Arvydas Sabonis*",0.228262288749308
"278","Jay Vincent",0.227328209042331
"279","Roy Hinson",0.226753196810972
"280","Gordon Hayward",0.226576843874101
"281","Danny Granger",0.22591162760785
"282","Archie Clark",0.225783287390896
"283","Joe Dumars*",0.225652235719805
"284","Darryl Dawkins",0.224054052158353
"285","Mike Bibby",0.224052120163586
"286","Jason Richardson",0.223805280467888
"287","Sam Lacey",0.223773581989291
"288","Joe Johnson",0.22362433877392
"289","Calvin Murphy*",0.223042557683206
"290","Corey Maggette",0.221265476208686
"291","Wes Unseld*",0.218602590927202
"292","Marcus Camby",0.218600779654014
"293","Mark Jackson",0.21727353058057
"294","Wayman Tisdale",0.217082520841623
"295","Michael Adams",0.216958138061763
"296","Armen Gilliam",0.214103900813326
"297","Rajon Rondo",0.213974043365526
"298","Elden Campbell",0.212921091392366
"299","Zelmo Beaty*",0.212815529414392
"300","Bob Dandridge",0.212515994591033
"301","Norm Nixon",0.210719944484177
"302","Kevin Martin",0.21068687505903
"303","Rik Smits",0.210193616594334
"304","Richard Hamilton",0.207765106492381
"305","Michael Cage",0.207537860497789
"306","Cliff Robinson",0.207416733360066
"307","Ricky Pierce",0.207205518839888
"308","Rich Kelley",0.206737041217084
"309","Donyell Marshall",0.206680256375805
"310","Chuck Person",0.206621069646933
"311","Sam Jones*",0.206607212782503
"312","A.C. Green",0.206444999657221
"313","Serge Ibaka",0.20611068846482
"314","Tyson Chandler",0.205972065738887
"315","Goran Dragic",0.205773582502011
"316","Grant Long",0.205580882669153
"317","Emeka Okafor",0.20492986420749
"318","Jalen Rose",0.202696904911321
"319","Thurl Bailey",0.202645957694829
"320","Rashard Lewis",0.202555436840898
"321","Sam Perkins",0.201349427918926
"322","Steve Smith",0.200327514122975
"323","Tyrone Corbin",0.199690725137066
"324","Nick Anderson",0.199332971625603
"325","Mike Conley",0.198864946648903
"326","Dick Van Arsdale",0.198520609677276
"327","Rudy Gay",0.198480125132463
"328","Victor Oladipo",0.198381759410757
"329","Tom Owens",0.198170684031456
"330","Steve Stipanovich",0.198122110884023
"331","Ben Simmons",0.196775453405067
"332","George Yardley*",0.196720411441135
"333","Dan Majerle",0.195274498515192
"334","Ed Macauley*",0.195076921681537
"335","Jason Terry",0.193863979918751
"336","Jeff Mullins",0.191059366027321
"337","Metta World Peace",0.18948093514071
"338","Kenyon Martin",0.189199772178262
"339","Eric Bledsoe",0.189163722836702
"340","Micheal Williams",0.189020402043423
"341","Clint Capela",0.18760990461778
"342","Eddie Johnson",0.186917107846188
"343","Nate Thurmond*",0.186621957290431
"344","Cedric Ceballos",0.18655655555782
"345","Hedo T<fc>rkoglu",0.186103955444439
"346","Steven Adams",0.186062065787841
"347","Mike Newlin",0.185873827191225
"348","Fred Brown",0.185512737465366
"349","Kermit Washington",0.185021048992065
"350","Brian Grant",0.184523554581278
"351","Phil Chenier",0.184467691872504
"352","Tony Campbell",0.183409554969123
"353","Jrue Holiday",0.183347408865344
"354","James Edwards",0.182324667917548
"355","Allan Houston",0.181901371084885
"356","James Donaldson",0.181536987664611
"357","Derrick McKey",0.181246280157065
"358","Benoit Benjamin",0.180943218896134
"359","Robert Reid",0.18011239768659
"360","Loy Vaught",0.178761259838983
"361","Reggie Williams",0.178545803620016
"362","Kenny Carr",0.178345076883218
"363","Derrick Favors",0.177334072282153
"364","Lionel Simmons",0.176354447308434
"365","Jeff Malone",0.175294069858912
"366","Sean Elliott",0.174925920329628
