"","Player","Tm","Yr","W","PTS","TRB","AST","PC1a","maxW","PC1b","PC1n"
"4994","Khris Middleton","MIL",2017,2,14.5,4.7,5.3,17.5869083946214,16,1.09918177466384,0.0682026971045472
"4995","Tyson Chandler","CHI",2005,2,11.7,9.7,1.3,17.5864023754617,16,1.09915014846636,0.0682007347430735
"4996","Gerald Henderson","DET",1990,15,0.3,0.4,0.5,16.4787867423789,15,1.09858578282526,0.0681657166416428
"4997","Nick Johnson","HOU",2015,9,1.3,0.4,0.4,17.5728565795292,16,1.09830353622057,0.0681482036332105
"4998","Khris Middleton","MIL",2015,2,15.8,3.7,2,17.568622381176,16,1.0980388988235,0.0681317832515674
"4999","Iman Shumpert","HOU",2019,6,3.6,1.5,0.3,17.5669242519737,16,1.09793276574836,0.0681251978421806
"5000","Goo Kennedy","HOU",1977,6,2,2,0,15.3635491510485,14,1.09739636793204,0.0680919151052964
"5001","Charlie Ward","NYK",1996,4,4.6,1.3,2.4,16.4575689846951,15,1.09717126564634,0.0680779478222111
"5002","Rick Fox","LAL",1999,3,6.6,2.8,1.5,16.4487817176263,15,1.09658544784175,0.0680415986439353
"5003","Eddie Mast","NYK",1971,7,1.3,1,0,13.1575891964439,12,1.09646576637033,0.0680341725754426
"5004","Bryn Forbes","SAS",2019,3,10.7,3.6,1,17.5325920891428,16,1.09578700557142,0.0679920564139113
"5005","Monty Williams","NYK",1995,6,4,0,0,16.4280521849322,15,1.09520347899548,0.0679558494031795
"5006","Montrezl Harrell","LAC",2019,2,18.3,5.5,2.2,17.5149846646404,16,1.09468654154002,0.0679237741545633
"5007","Dave Gambee","SYR",1963,2,6.4,3.2,0,8.75527563318654,8,1.09440945414832,0.0679065812681058
"5008","John Lucas","HOU",1985,2,13.6,4.2,5.4,16.4072994377044,15,1.09381996251363,0.0678700041337926
"5009","Cody Zeller","CHO",2016,3,8.4,5.3,0.3,17.4993368175085,16,1.09370855109428,0.0678630912105048
"5010","Jim Washington","STL",1966,6,1,0.8,0,12.0189316792238,11,1.09263015265671,0.0677961780904996
"5011","Calvin Booth","DAL",2001,4,3.8,2.8,0.2,16.3814433612205,15,1.09209622408137,0.0677630485665766
"5012","Spud Webb","ATL",1991,2,13.2,4.4,4.8,16.3622425755781,15,1.09081617170521,0.0676836231007422
"5013","Happy Hairston","DET",1968,2,11.7,6.2,1.2,13.0896029798131,12,1.09080024831776,0.0676826350767446
"5014","Terry Porter","MIN",1998,2,15.8,5,3.2,16.3598041934998,15,1.09065361289999,0.0676735365534488
"5015","George Ratkovicz","SYR",1952,3,3,3.7,0.5,9.81419844306498,9,1.09046649367389,0.0676619260662717
"5016","Kris Humphries","WAS",2015,6,2,3,0,17.44465749159,16,1.09029109322437,0.0676510427128484
"5017","John Block","SDR",1969,2,12.4,2.8,0.6,13.0770063729726,12,1.08975053108105,0.0676175015852779
"5018","Ernie Grunfeld","NYK",1984,6,2.4,0.8,0.5,16.3411231403742,15,1.08940820935828,0.0675962609994996
"5019","Bob Boozer","CIN",1962,1,18.3,10.5,0.8,8.70821846387933,8,1.08852730798492,0.0675416022970618
"5020","Joakim Noah","CHI",2012,2,15,9.3,3,17.4124910224363,16,1.08828068890227,0.0675262999267152
"5021","Sherman Douglas","BOS",1992,6,3.2,0.7,1.7,16.316574010659,15,1.0877716007106,0.0674947117139773
"5022","Mark West","IND",1998,10,0.8,0.3,0,16.3143282992223,15,1.08762188661482,0.067485422163002
"5023","Don Ohl","STL",1968,2,11.5,2,3.5,13.0418208403763,12,1.08681840336469,0.0674355671472074
"5024","Eduardo Nájera","DAL",2002,4,4.6,1.6,0.1,16.2995810054957,15,1.08663873369972,0.0674244188949149
"5025","Solomon Hill","NOP",2018,5,3.7,1.9,0.8,17.3716144333004,16,1.08572590208127,0.0673677789652734
"5026","Freddie Crawford","PHI",1971,3,7,0,1,13.0233443295193,12,1.08527869412661,0.0673400303349943
"5027","Bryon Russell","UTA",2001,2,14.2,7.2,3,16.273779951142,15,1.08491866340947,0.0673176909307979
"5028","John Salley","MIA",1994,2,11,8,1.6,16.2727037665067,15,1.08484691776711,0.0673132392136871
"5029","Brandon Rush","GSW",2015,16,1,1,0,17.3373926700895,16,1.0835870418806,0.0672350656709138
"5030","Jimmy Walker","DET",1968,2,12.7,1.5,1.5,12.999907747652,12,1.08332564563767,0.0672188463983679
"5031","Doc Rivers","ATL",1984,2,13.6,2,3.2,16.2490595741216,15,1.08327063827477,0.0672154332681682
"5032","Red Kerr","SYR",1958,1,16.7,20.3,1,8.65456722518067,8,1.08182090314758,0.0671254792241324
"5033","Steve Hawes","HOU",1975,3,5.5,3.6,1.6,12.9800329444934,12,1.08166941204111,0.0671160794121206
"5034","Malcolm Brogdon","MIL",2018,3,8.7,3.4,2.4,17.3040555110682,16,1.08150346944176,0.0671057829051179
"5035","Rick Adelman","CHI",1974,4,4.3,1.1,0.8,12.9756483974129,12,1.08130403311774,0.0670934081591819
"5036","Robert Horry","LAL",1999,3,5,4.5,1.4,16.218888402812,15,1.08125922685414,0.067090627992975
"5037","Walt Frazier*","NYK",1968,2,9.5,5.5,6.3,12.9719672453308,12,1.08099727044423,0.0670743739628489
"5038","Joe Ellis","GSW",1973,5,2.4,1.8,0.7,12.9690272421827,12,1.08075227018189,0.0670591720380461
"5039","Dikembe Mutombo*","PHI",2002,2,8.8,10.6,0.6,16.2106008860669,15,1.08070672573779,0.0670563460687688
"5040","Sleepy Floyd","HOU",1993,6,2.9,0.6,1.1,16.2099167508561,15,1.08066111672374,0.0670535160930155
"5041","Andrei Kirilenko","BRK",2014,5,2.5,2.3,1,17.2887073936546,16,1.08054421210341,0.0670462623242631
"5042","Johnny High","PHO",1980,3,4,3.1,2.5,12.9659901847407,12,1.08049918206173,0.0670434682729384
"5043","Gus Bailey","HOU",1975,3,5.6,2.4,2,12.9628239543063,12,1.08023532952553,0.0670270965908184
"5044","Matt Bonner","SAS",2010,4,5,3.2,0.4,17.2794871707122,16,1.07996794816951,0.0670105059503477
"5045","DeJuan Blair","DAL",2014,3,6.7,6.2,0.2,17.2501865232373,16,1.07813665770233,0.0668968769292681
"5046","Leroy Chollet","SYR",1951,4,1.9,2.3,1.3,9.69460448270598,9,1.07717827585622,0.0668374106714865
"5047","Ray Scott","DET",1963,1,15.8,12,2.3,8.61510929115395,8,1.07688866139424,0.0668194404977786
"5048","Sam Cassell","MIL",2003,2,17.2,3.2,2.7,17.2243023466881,16,1.07651889666801,0.066796497111885
"5049","Anthony Parker","TOR",2007,2,15.2,5.3,1,17.221935345016,16,1.0763709590635,0.0667873177897171
"5050","Dale Ellis","DAL",1986,5,4.3,1,0.3,16.1443026997771,15,1.07628684665181,0.0667820987318056
"5051","Kenny Carr","LAL",1979,3,5.4,2.1,0.5,12.9137520174254,12,1.07614600145212,0.0667733594834714
"5052","Jim King","SFW",1969,2,12,4.2,2.8,12.9092722857549,12,1.07577269047957,0.0667501960579369
"5053","Lloyd Daniels","SAS",1993,5,3.5,1.9,0.3,16.1253777536412,15,1.07502518357608,0.0667038142964324
"5054","Stanley Roberts","LAC",1993,2,11.4,8.2,0.2,16.1214114683564,15,1.07476076455709,0.0666874074648453
"5055","Ollie Johnson","KCO",1975,2,10.7,3.8,1,12.8908289486912,12,1.07423574572427,0.0666548307780273
"5056","Kenny Battle","PHO",1990,9,1.1,0.6,0,16.1120844119762,15,1.07413896079841,0.0666488254082743
"5057","Richie Guerin*","STL",1965,1,17.3,2,5.3,8.58872396230116,8,1.07359049528764,0.0666147938877694
"5058","J.J. Redick","LAC",2017,3,9.1,1.7,0.9,17.1599220092446,16,1.07249512557779,0.0665468277239728
"5059","Fred VanVleet","TOR",2018,4,6.8,1.7,2.2,17.1583017595017,16,1.07239385996886,0.0665405443340804
"5060","Alvin Williams","TOR",2002,2,12,4.8,5.6,16.0818181345727,15,1.07212120897151,0.0665236267197096
"5061","Bucky Bockhorn","CIN",1962,1,17,4.8,5,8.56711879543918,8,1.0708898494299,0.066447222576392
"5062","Jason Terry","DAL",2007,2,17,2.3,3.7,17.1304931013673,16,1.07065581883545,0.066432701304193
"5063","Fred Hetzel","LAL",1971,5,1.7,1,0.3,12.8384432910321,12,1.06987027425268,0.0663839593577051
"5064","Cliff Barker","INO",1950,3,5.7,0,2.2,11.7506640817236,11,1.0682421892476,0.0662829389523263
"5065","Rony Seikaly","MIA",1994,2,8.2,9.4,1.6,16.0089396089008,15,1.06726264059338,0.0662221593236035
"5066","Larry Steele","POR",1978,2,11.5,4.3,2.3,14.9373099819075,14,1.06695071299339,0.0662028046507814
"5067","Red Morrison","BOS",1955,3,1,2,0.1,7.46819856450566,7,1.06688550921509,0.0661987588472173
"5068","Stojko Vrankovic","BOS",1991,5,2,2,0,15.9947044270525,15,1.06631362847016,0.0661632744440682
"5069","Jim Krebs","LAL",1964,2,3.5,5.5,1.5,8.52854873603086,8,1.06606859200386,0.0661480702728598
"5070","Bobby Jackson","SAC",2001,3,7,3.3,2.3,15.9890973654794,15,1.06593982436529,0.0661400804203602
"5071","Chuck Hayes","HOU",2007,3,3.7,6.4,0.4,17.0408785825398,16,1.06505491140874,0.0660851728047765
"5072","Chucky Brown","HOU",1996,3,8.1,3,0.6,15.9738819220382,15,1.06492546146922,0.0660771406164534
"5073","Luol Deng","CHI",2012,2,14,8.3,1.5,17.0323744905243,16,1.06452340565777,0.0660521936137287
"5074","Sam Mitchell","MIN",1998,2,14.4,5.4,1.6,15.9675593620333,15,1.06450395746889,0.0660509868807153
"5075","Mark Blount","BOS",2003,4,3.1,3.6,0.2,17.0252580417364,16,1.06407862760852,0.0660245957556942
"5076","Mike James","NOH",2008,7,3,0.3,0.3,17.0193131448216,16,1.06370707155135,0.0660015412202125
"5077","Chris Childs","TOR",2002,2,11.8,3.8,7.4,15.954495264093,15,1.0636330176062,0.0659969462761306
"5078","Kirk Hinrich","CHI",2015,6,2.6,0.5,1.1,17.0116846305824,16,1.0632302894114,0.0659719575529562
"5079","Danny Manning","PHO",1997,2,13.2,6,1.4,15.9415662366201,15,1.06277108244134,0.0659434644004956
"5080","Curtis Perry","MIL",1973,2,8.8,11.5,2.2,12.7467052965296,12,1.06222544137747,0.0659096081329839
"5081","Dee Brown","UTA",2007,9,1.6,0.4,1.1,16.9913224986265,16,1.06195765616416,0.0658929924337309
"5082","P.J. Brown","MIA",1998,2,9.2,8.8,0.8,15.9096240777948,15,1.06064160518632,0.0658113333048365
"5083","Vin Baker","SEA",2002,2,13.2,5,0.8,15.905570003608,15,1.06037133357387,0.0657945633279819
"5084","Al Harrington","DEN",2012,3,9.7,4.3,0.9,16.9618424938004,16,1.06011515586252,0.0657786678580474
"5085","Stacey Augmon","POR",2000,10,1.3,0.3,0,15.8926065901386,15,1.05950710600924,0.0657409392121364
"5086","Greg Buckner","DAL",2002,4,3.9,3.7,0.6,15.8802982039781,15,1.05868654693187,0.0656900246650615
"5087","Dana Barros","SEA",1992,4,7.4,1,1.1,15.878268355856,15,1.05855122372373,0.0656816280486067
"5088","Cliff Hagan*","STL",1965,1,18.5,6.5,1.8,8.46836907104539,8,1.05854613388067,0.065681312230939
"5089","Dwyane Wade","CHI",2017,2,15,5,4,16.9326146058959,16,1.05828841286849,0.0656653210013386
"5090","Ryan Hollins","DAL",2009,5,2.4,2.7,0.1,16.9242165482417,16,1.05776353426511,0.0656327530155617
"5091","Voshon Lenard","MIA",1998,2,14.4,3.8,1.4,15.8635542080207,15,1.05757028053472,0.0656207618909435
"5092","Mark West","PHO",1992,4,4,2.1,0.3,15.8582235318427,15,1.05721490212285,0.0655987111558051
"5093","Avery Bradley","BOS",2016,2,18,3,1,16.9115189762336,16,1.0569699360146,0.0655835113502163
"5094","Dick McGuire*","DET",1959,1,15.7,5.7,6.3,8.4534346425135,8,1.05667933031419,0.0655654796715448
"5095","John Stockton*","UTA",1987,2,10,2.2,8,15.846182822929,15,1.05641218819527,0.0655489038754021
"5096","Walter Herrmann","DET",2008,10,1.3,0.3,0,16.8989110616902,16,1.05618194135564,0.0655346173799156
"5097","John Thompson*","BOS",1966,11,0.7,1.3,0,11.6052226418885,11,1.05502024017168,0.0654625354406025
"5098","Larry Smith","GSW",1989,4,1,5,2,15.8092063622063,15,1.05394709081376,0.0653959480186733
"5099","Harvey Catchings","MIL",1984,8,0.6,1,0.2,15.8040836745293,15,1.05360557830195,0.0653747576433079
"5100","Samuel Dalembert","DAL",2014,3,4.6,8.4,0,16.8563210309684,16,1.05352006443552,0.0653694516270831
"5101","Toby Kimball","SDR",1969,2,9.8,12.3,0.7,12.6403232278151,12,1.05336026898459,0.0653595365420717
"5102","Joe Ellis","SFW",1967,9,0.7,0.3,0.7,11.5796026027742,11,1.05269114570675,0.0653180183752898
"5103","Willis Reed*","NYK",1967,1,27.5,13.8,1.8,11.5781414031434,11,1.05255830937667,0.0653097760661525
"5104","Steve Harris","HOU",1987,5,4.1,0.8,0.6,15.7870279767803,15,1.05246853178535,0.0653042054917412
"5105","Chuck Share","STL",1959,2,4.3,8.7,1.5,8.41766585141054,8,1.05220823142632,0.0652880542172635
"5106","Ed Macauley*","BOS",1954,2,5,4.2,4.2,9.46329509108105,9,1.05147723234234,0.0652426967429517
"5107","Fred Hoiberg","IND",1999,9,1,0.8,0.5,15.7689968153103,15,1.05126645435402,0.065229618262554
"5108","Joe Ellis","SFW",1969,2,10.3,8.5,0.5,12.6127649158917,12,1.05106374299098,0.0652170403050112
"5109","Jason Thompson","TOR",2016,10,0.8,1.1,0.1,16.7998801159866,16,1.04999250724916,0.0651505716202945
"5110","Andrés Nocioni","CHI",2005,2,12.8,8.2,2.3,16.7978793346318,16,1.04986745841449,0.0651428125143932
"5111","Ken Norman","LAC",1993,2,12.8,8.2,2.4,15.7423280925717,15,1.04948853950478,0.0651193011241738
"5112","Arnie Risen*","BOS",1956,1,12.3,14.7,0.7,7.34128069404485,7,1.04875438486355,0.0650737478519327
"5113","Brad Sellers","CHI",1988,4,4.5,2.1,0.8,15.7277731563953,15,1.04851821042635,0.0650590935572788
"5114","Rodney McCray","HOU",1985,2,10.6,6,2.2,15.7200745184694,15,1.04800496789796,0.0650272475737374
"5115","Grant Long","MIA",1994,2,12.3,4.5,1.8,15.716985367129,15,1.04779902447527,0.0650144690713983
"5116","Jonah Bolden","PHI",2019,7,1.6,1.4,0.3,16.7451834185496,16,1.04657396365935,0.0649384557552311
"5117","Bill Garnett","DAL",1984,4,4.8,2.8,0.5,15.6975028350435,15,1.0465001890029,0.0649338781406238
"5118","Chuck Noble","DET",1958,3,2.9,1.9,0.9,8.36912614536653,8,1.04614076817082,0.0649115765789453
"5119","Wesley Person","PHO",1997,2,15.6,6.6,1.2,15.6821094149129,15,1.04547396099419,0.0648702021230158
"5120","Frank Kaminsky","CHO",2016,3,7.1,4.3,1.1,16.7132729124843,16,1.04457955703027,0.064814705603653
"5121","Damon Jones","DET",2002,4,4.3,2.1,2.5,15.6645346669112,15,1.04430231112742,0.0647975028817998
"5122","Magic Johnson*","LAL",1981,1,17,13.7,7,12.5279638527866,12,1.04399698773222,0.0647785579906802
"5123","Dennis Johnson*","BOS",1990,2,13.8,2.8,5.6,15.6577710691487,15,1.04385140460991,0.0647695247608515
"5124","Jack Marin","BUF",1975,3,5.3,2.4,1.1,12.5236082854816,12,1.04363402379014,0.0647560365839646
"5125","Paul Mokeski","MIL",1985,3,5.5,4.3,1.5,15.6535032510951,15,1.04356688340634,0.0647518706167288
"5126","David Thompson*","DEN",1979,1,28,7,4,12.4975806064056,12,1.0414650505338,0.0646214548164719
"5127","Oscar Robertson*","CIN",1967,1,24.8,4,11.3,11.4539685992088,11,1.04126987265535,0.0646093443011485
"5128","Eric Snow","PHI",2002,2,10.8,4.4,5.4,15.6139496229547,15,1.04092997486365,0.0645882541169148
"5129","Mason Plumlee","BRK",2014,5,2.2,2.3,0.2,16.6541910798034,16,1.04088694248771,0.0645855840179657
"5130","Kareem Abdul-Jabbar*","LAL",1978,1,27,13.7,3.7,14.5705845309028,14,1.04075603792163,0.0645774615720916
"5131","Ralph Lewis","DET",1988,14,0.4,0.8,0.1,15.5981901751243,15,1.03987934500829,0.0645230639987327
"5132","Danny Young","POR",1991,9,1.7,0,1,15.5964222821023,15,1.03976148547349,0.0645157509788681
"5133","Nate Robinson","OKC",2011,9,2.7,0,0.3,16.6321471408487,16,1.03950919630304,0.0645000967874765
"5134","Kenyon Martin","DEN",2010,2,10,8.3,1.3,16.6250587120501,16,1.03906616950313,0.0644726075920221
"5135","Sheldon Mac","WAS",2017,7,2,0.3,0,16.6139740690365,16,1.03837337931478,0.0644296209264298
"5136","Jamal Crawford","LAC",2016,2,17.3,2.2,2.2,16.6012008646344,16,1.03757505403965,0.0643800859557945
"5137","Mike Sanders","SAS",1983,6,2.3,1.5,0.7,12.4417308266174,12,1.03681090221811,0.0643326714003246
"5138","Jeff Teague","ATL",2013,2,13.3,2.8,5,16.5841888634118,16,1.03651180396324,0.0643141127704855
"5139","Craig Ehlo","ATL",1996,4,4,2,1,15.5382292919997,15,1.03588195279998,0.0642750313836769
"5140","Stephen Jackson","IND",2006,2,13.3,4.5,3.3,16.5723274953672,16,1.03577046846045,0.0642681139357933
"5141","Jon Barry","HOU",2005,3,8.6,4.1,1.3,16.5501411126067,16,1.03438381953792,0.0641820743028284
"5142","Donyell Marshall","UTA",2001,2,10.4,7.6,1.6,15.514768644245,15,1.03431790961633,0.0641779846840577
"5143","Alvin Scott","PHO",1980,3,4.8,2.8,1.3,12.3997288793661,12,1.03331073994718,0.0641154912098558
"5144","Rudy Tomjanovich","HOU",1980,2,8.3,5.7,1.4,12.3922580257002,12,1.03268816880835,0.0640768615384162
"5145","Jeff Hornacek","UTA",1995,2,14,1.2,4,15.4842636642741,15,1.03228424428494,0.0640517985847193
"5146","Don Adams","ATL",1972,2,9.3,6.3,2,12.3829025281569,12,1.03190854401307,0.0640284869064918
"5147","DeMarre Carroll","TOR",2017,4,4.2,2.7,0.5,16.5091651777621,16,1.03182282361013,0.0640231680749645
"5148","Randy Livingston","HOU",1997,9,1.5,0,2,15.4759556294254,15,1.03173037529502,0.0640174317858643
"5149","Austin Daye","MEM",2013,8,1.8,0.3,0,16.5070823627967,16,1.03169264767479,0.0640150908396127
"5150","Hersey Hawkins","CHH",2001,6,2,1.5,0.7,15.4700637153976,15,1.03133758102651,0.06399305944897
"5151","Otis Smith","GSW",1989,4,4.8,3.3,1.5,15.4647138611913,15,1.03098092407942,0.0639709293825031
"5152","Bimbo Coles","MIA",1994,2,13.8,2.8,3.4,15.4614319963412,15,1.03076213308941,0.063957353706519
"5153","Billy Paultz","SAS",1978,2,11.5,6.8,2.3,14.4261431119444,14,1.03043879371031,0.0639372909487084
"5154","Tom Boswell","UTA",1984,5,1.6,1.2,0.4,15.4511831845355,15,1.03007887896903,0.0639149587406526
"5155","Todd Fuller","UTA",1999,5,2.6,2.8,0,15.4474317621061,15,1.0298287841404,0.0638994407051125
"5156","Paul Walther","INO",1950,3,5.5,0,1.3,11.3219842824096,11,1.02927129840088,0.0638648494919851
"5157","Mike Sanders","CLE",1988,2,12.8,5,1.4,15.437877532247,15,1.02919183548313,0.0638599189286927
"5158","Kendall Gill","SEA",1994,2,13.4,4.8,2,15.4370363574892,15,1.02913575716594,0.0638564393472717
"5159","Sidney Moncrief*","MIL",1989,3,6.1,2.9,1.4,15.4322317789894,15,1.02881545193263,0.0638365648539783
"5160","Hedo Türkoglu","SAC",2001,3,7.5,3.5,1.4,15.4285669956373,15,1.02857113304249,0.0638214052073709
"5161","Larry Nance","CLE",1990,2,12.2,4.8,2.4,15.408993086092,15,1.02726620573947,0.063740436286995
"5162","Arron Afflalo","DET",2008,10,1.2,0.4,0.5,16.429698879695,16,1.02685617998094,0.0637149947601624
"5163","Tom Henderson","HOU",1980,2,8,2.3,6,12.3220079135433,12,1.02683399279527,0.0637136180762159
"5164","Tom Boswell","BOS",1977,5,2.2,2.2,0.8,14.3683093389083,14,1.02630780992202,0.0636809691623119
"5165","Desmond Mason","MIL",2003,2,13,7,0.8,16.4148961913209,16,1.02593101195756,0.0636575893737886
"5166","Dennis DuVal","WSB",1975,8,1.4,0.6,0.6,12.3106638006984,12,1.0258886500582,0.0636549608769769
"5167","Tom Boerwinkle","CHI",1973,3,2.3,2.3,2.8,12.3053900227848,12,1.0254491685654,0.0636276916628873
"5168","Lenny Wilkens*","STL",1965,1,16,3,3.8,8.19843381493418,8,1.02480422686677,0.0635876739293917
"5169","Jeff Teague","ATL",2012,2,14,3.7,4.2,16.3951155151043,16,1.02469471969402,0.0635808791619507
"5170","Darius Morris","LAL",2012,5,2.5,0,0.8,16.3940372487776,16,1.0246273280486,0.0635766976042815
"5171","Al Jefferson","BOS",2005,3,6.1,6.4,0.3,16.3927063240494,16,1.02454414525309,0.0635715362277581
"5172","Derek Smith","BOS",1991,5,2.9,0.9,0.5,15.3601998761335,15,1.02401332507557,0.0635385995755876
"5173","Marvin Williams","ATL",2009,4,5,1.5,1,16.3792278019728,16,1.0237017376233,0.0635192660084574
"5174","Sasha Pavlovic","BOS",2012,11,0.7,0.5,0.1,16.373196128159,16,1.02332475800994,0.0634958749488735
"5175","Toni Kukoc","MIL",2003,2,14.8,4.2,3.7,16.364732027946,16,1.02279575174662,0.0634630508475511
"5176","Kenny Walker","NYK",1990,4,4.1,2.5,0.6,15.3414358561628,15,1.02276239041085,0.0634609808231649
"5177","Mark Jackson","IND",1996,2,10.6,5,6,15.334299814461,15,1.0222866542974,0.0634314620603948
"5178","Jameer Nelson","ORL",2011,2,13.2,4.2,5,16.3350758650429,16,1.02094224156518,0.0633480431241711
"5179","Bob Brannum","BOS",1954,2,4.7,7.5,1.7,9.1845025486101,9,1.0205002831789,0.0633206202222933
"5180","Greg Monroe","MIL",2017,2,13.2,7.3,1.7,16.321385278839,16,1.02008657992744,0.0632949505121499
"5181","Al Bianchi","PHI",1964,2,5.4,0.8,0.8,8.1519572350128,8,1.0189946543766,0.0632271980536201
"5182","Andre Miller","PHI",2008,2,15.3,3.2,3.3,16.2945833592837,16,1.01841145995523,0.0631910116526166
"5183","Giannis Antetokounmpo","MIL",2015,2,11.5,7,2.7,16.29032118439,16,1.01814507402438,0.0631744827768896
"5184","Carlos Delfino","DET",2006,10,0.6,0.5,0.3,16.2893488458636,16,1.01808430286648,0.0631707120112433
"5185","Mike Bantom","SEA",1976,2,9.7,3.8,1.3,12.2158182365834,12,1.01798485304862,0.0631645412886559
"5186","Larry Nance","PHO",1982,2,7.7,4.6,1,12.2156126916818,12,1.01796772430682,0.0631634784741008
"5187","Mark Olberding","SAS",1978,2,10.5,5,2.3,14.2515316437435,14,1.01796654598168,0.0631634053606684
"5188","Malik Rose","SAS",2004,6,1.4,2.4,0.9,16.2874302021994,16,1.01796438763746,0.0631632714384178
"5189","Reggie Williams","SAS",1990,6,2.2,1.2,0.3,15.2680036335886,15,1.01786690890591,0.0631572230189884
"5190","Andrei Kirilenko","UTA",2010,4,5.5,3,0,16.2828912441868,16,1.01768070276168,0.0631456691872686
"5191","Tyrone Corbin","UTA",1993,2,11.8,7.6,1.8,15.258725733122,15,1.01724838220813,0.0631188442994792
"5192","Željko Rebraca","DET",2002,4,4.2,2,0,15.2574277129719,15,1.01716184753146,0.0631134749434018
"5193","John Paxson","CHI",1988,4,4.6,0.4,3,15.2330731613955,15,1.0155382107597,0.0630127305447001
"5194","Fred Saunders","BOS",1977,5,3.2,1,0.6,14.2147047690754,14,1.01533605493396,0.0630001870574728
"5195","Dale Davis","IND",1996,2,7.2,11.2,0.8,15.2288967842676,15,1.01525978561784,0.0629954546527099
"5196","Deron Williams","BRK",2015,2,11.8,6.2,5.5,16.2437368412023,16,1.01523355257514,0.0629938269289736
"5197","Tim Thomas","MIL",2000,2,15.4,4.8,2,15.2004153573559,15,1.01336102382372,0.0628776391298341
"5198","Jim Barnett","BOS",1967,4,2.8,0.8,0.2,11.1323056575735,11,1.01202778705214,0.0627949136463908
"5199","Rodney Buford","SAC",2004,7,2.4,1,0.6,16.1923587743063,16,1.01202242339414,0.0627945808388879
"5200","Walter Dukes","DET",1959,1,14.3,13.3,1,8.09275808799433,8,1.01159476099929,0.062768044983353
"5201","Richie Guerin*","ATL",1969,5,1,1.7,2.3,12.1290757896216,12,1.0107563158018,0.0627160206274535
"5202","Odie Spears","ROC",1955,1,11.7,4.7,3.3,7.07374799594419,7,1.01053542799203,0.0627023148467254
"5203","Billy Cunningham*","PHI",1970,1,29.2,10.4,4,12.1225423435455,12,1.01021186196213,0.0626822380255486
"5204","Mark Strickland","MIA",1997,8,2,0.8,0.3,15.1530075904964,15,1.01020050603309,0.0626815334059797
"5205","Wayne Embry*","CIN",1966,2,7.8,6.8,0.4,11.1114154775782,11,1.01012867977984,0.062677076687075
"5206","Hot Rod Williams","CLE",1989,2,11,6.8,2,15.151839260304,15,1.0101226173536,0.0626767005219765
"5207","Adrian Griffin","DAL",2002,4,5,2.3,1,15.1509594329458,15,1.01006396219638,0.0626730610512235
"5208","Bobby Lewis","SFW",1968,4,4,0,0,12.1182893705745,12,1.00985744754787,0.0626602471051185
"5209","Johnny Davis","POR",1978,2,14.3,1.7,2.2,14.1145469984282,14,1.00818192845915,0.0625562834809622
"5210","Andre Miller","POR",2011,2,14.8,3.2,5.5,16.1302178365755,16,1.00813861478597,0.0625535959279107
"5211","Desmond Mason","SEA",2002,2,11.8,6.2,1.8,15.1185060910587,15,1.00790040607058,0.0625388154091302
"5212","Brendan Haywood","WAS",2008,2,12,6.7,0.8,16.1064931673168,16,1.0066558229573,0.0624615907616214
"5213","Darrell Walker","WSB",1988,2,11,4.8,2.8,15.0982953811545,15,1.0065530254103,0.0624552123171068
"5214","Clarence Glover","BOS",1972,5,2,1,0,12.0746311860118,12,1.00621926550098,0.0624345029799202
"5215","Ray Lumpp","NYK",1950,3,4.4,0,0.6,11.054932556065,11,1.00499386873318,0.0623584688184074
"5216","Bernard King*","WSB",1988,2,13.8,2.2,1.8,15.0733671284822,15,1.00489114189882,0.062352094761513
"5217","Austin Rivers","LAC",2017,3,8,2.7,0.7,16.0751344733129,16,1.00469590458206,0.0623399805581252
"5218","Danny Ainge","BOS",1983,2,9.4,2,3.6,12.039211103893,12,1.00326759199108,0.0622513557526031
"5219","Ronnie Price","UTA",2008,6,2.8,0.3,0.9,16.0403981441614,16,1.00252488401009,0.0622052717575511
"5220","Josh Huestis","OKC",2016,11,1.5,1.5,0,16.034612781015,16,1.00216329881344,0.0621828359000678
"5221","Stacey Augmon","NOH",2004,3,7.4,2.7,1,16.0238766182499,16,1.00149228864062,0.0621412006540825
"5222","George McGinnis*","PHI",1976,1,23,13.7,4,12.0120118408452,12,1.0010009867371,0.0621107160557341
"5223","Marvin Williams","CHO",2016,3,5.1,6.9,0.9,16.0150786420184,16,1.00094241512615,0.0621070817689101
"5224","Josh Childress","ATL",2008,3,7.1,5.7,1.6,16.0116619323175,16,1.00072887076984,0.0620938316392345
"5225","Lou Williams","ATL",2014,3,8.3,2.3,1.1,15.9937260524546,16,0.999607878278415,0.0620242756175539
"5226","Patty Mills","SAS",2015,3,10.1,2.7,1.1,15.9936043483777,16,0.999600271773605,0.0620238036445322
"5227","Jamaal Magloire","NOH",2003,2,11.5,8.3,0.3,15.9935517419237,16,0.999596983870231,0.0620235996347104
"5228","Billy Ray Bates","POR",1981,1,28.3,2.3,4.3,11.9904847599676,12,0.99920706333063,0.0619994056086902
"5229","Mike Evans","MIL",1981,3,6.3,0.3,1.5,11.9800297875508,12,0.998335815629234,0.0619453459031428
"5230","Mario Bennett","LAL",1998,7,1,1.5,0,14.9740689553958,15,0.998271263693054,0.0619413405454738
"5231","Stephen Howard","UTA",1994,8,1.4,1,0,14.9683211874571,15,0.997888079163808,0.0619175644795076
