"","PER","pred.PER"
"150",10.1,10.5303230155127
"151",18.9,19.7894241144607
"152",6.9,9.25998410971918
"153",17.1,17.7334937816492
"154",9.3,11.8160673413222
"155",7,6.37977068026194
"156",15.8,15.2573332718576
"157",10.4,11.9703406986154
"158",11,9.52798032079031
"159",7.9,10.53961957055
"160",11.6,13.3028307809936
"161",26.3,25.9590064182167
"162",6.9,9.61250909965105
"163",11.2,12.3694398157407
"164",-8.9,-8.32344469291809
"165",19.5,20.2934942862677
"166",9,10.7501790939811
"167",8.4,10.2501684535872
"168",9.9,11.3437627989935
"169",14.3,11.116052095594
"170",22.8,23.6245028358039
"171",10.7,12.591373186795
"172",24.2,24.641422853417
"173",15.4,14.751383671893
"174",18.5,19.5817250335118
"175",7,9.33519900037189
"176",9.9,9.39433981257691
"177",14.7,16.5543794291398
"178",18.8,18.9733991943935
"179",-6.6,-8.62808843047767
"180",13.6,14.3120120344517
"181",14.9,15.4981385199724
"182",12.5,13.5876967144323
"183",9.9,10.9407273472918
"184",20.6,20.999414667515
"185",5,3.62107223375401
"186",7.9,10.4812723640379
"187",18.9,20.4975475352957
"188",13.5,14.04517401689
"189",5,3.09948074882306
"190",12.6,14.0628121030664
"191",23.3,23.182300034933
"192",-41,-40.8678079165322
"193",22.2,22.9424146627533
"194",7.8,5.73972274983312
"195",15.3,14.1279287558797
"196",4.2,2.76546591916541
"197",11.7,11.8411692052441
"198",6.9,8.66969675817338
"199",4.7,6.26785737708752
"200",9.6,10.7158878789913
"201",13.8,14.1387285179652
"202",13.1,13.3191350741205
"203",12.1,12.5758887055015
"204",14.6,15.1377764968931
"205",15.4,15.9101705591733
"206",11.3,11.7348361212432
"207",21,21.1693616058719
"208",9.8,10.8451920079125
"209",13.4,12.3716225399847
"210",12.2,11.7297922967154
"211",15.7,16.8133609205843
"212",18.8,19.2231052091666
"213",12.4,13.7693313098699
"214",19.2,19.346434289997
"215",22.9,22.7241147784588
"216",16.6,16.9697072440449
"217",11.7,12.6448108157016
"218",12.6,13.9369003813609
"219",13.5,14.7715437106215
"220",12.8,13.4014197390346
"221",12.2,12.4848689536938
"222",0,3.96361321226312
"223",0,6.61592830093951
"224",17.9,19.4185972993488
"225",12.9,14.0878828318654
"226",0,11.1056663901046
"227",9.3,10.881084693687
"228",12.7,13.2902979679905
"229",14.8,14.1242247168173
"230",17.6,17.1227841764607
"231",13,13.7845490676021
"232",26.6,25.4640876697089
"233",13.8,10.4814911561929
"234",11.6,13.0993413106602
"235",12.1,12.0693384208534
"236",17.3,17.2638463961435
"237",1,2.70927524452021
"238",11.4,11.8581827190432
"239",10.1,11.5133314410246
"240",11,12.5585998487014
"241",21.9,22.5547499374547
"242",16.8,17.8271652163758
"243",12.3,13.243016404179
"244",10.5,11.5446274007397
"245",10.4,11.2541296249181
"246",14.2,14.3118429884085
"247",9.2,10.5861058304587
"248",12.5,13.0584633189444
"249",16,16.7960592981907
"250",11.6,12.6359431172995
"251",13.7,12.8523966814639
"252",11.8,12.4909484846808
"253",10.9,8.86474097364059
"254",16,15.0831278602466
"255",10.6,11.8582817305778
"256",9.2,10.9418234842076
"257",28,27.5148164852201
"258",8.9,10.0359837984538
"259",13.4,13.6282086850208
"260",17.4,17.2534089279673
"261",1.8,1.57911856013261
"262",10,10.3107969305792
"263",10.5,11.5806444194386
"264",12.8,13.5334306470592
"265",11,10.9498560329762
"266",6.8,4.94164218232051
"267",20.9,20.2615442550925
"268",7.2,8.77986549638904
"269",5.2,6.3963767719163
"270",24.4,24.1861785417778
"271",11.1,11.5131455623081
"272",16.6,17.0383147690481
"273",11.3,12.2800410455498
"274",18.9,19.4169037336033
"275",19.4,19.1351260276997
"276",-0.9,-1.76529982855363
"277",13.7,13.7132497006782
"278",10.1,10.0562298429911
"279",14,13.7759918788294
"280",0,6.31656028190171
"281",12.2,12.2426900791695
"282",-1.9,0.679431840681055
"283",19.9,19.9488261847466
"284",12,11.2196479418623
"285",8.8,9.47329762065048
"286",3.5,4.58726416091852
"287",17,17.4942300949943
"288",20.5,19.555395113239
"289",6,7.43568201988144
"290",21.8,22.4197124290763
"291",21.3,21.4053567466207
"292",12.6,12.4781608580316
"293",11.4,11.6457455081617
"294",14.2,13.3812820315669
"295",11.2,11.1849952183085
"296",11.7,11.7770591351644
"297",12.2,14.7884696496913
"298",15.2,14.451331133078
"299",9.4,10.1359402462497
"300",13.9,13.3772458125249
"301",15.1,15.1022090540555
"302",13.8,13.432874710603
"303",9.3,10.6592088701365
"304",20.2,19.5936964280311
"305",-3.3,-4.09141994628296
"306",7.7,9.0336799769601
"307",12.8,11.5882473257798
"308",11.3,10.9678057845207
"309",13.8,13.1991175522768
"310",10.8,11.0544631089811
"311",12.2,10.4442469388661
"312",18.6,18.1281129044934
"313",9.9,10.3284790385026
"314",16.4,16.0548810092049
"315",23.8,23.8254599108106
"316",17.5,16.4398712351792
"317",13.6,12.4366765934737
"318",13.6,14.3281309230394
"319",16.7,16.9908047251712
"320",13.8,13.7542170246212
"321",7.9,8.62867758728604
"322",3.7,5.55060097476643
"323",8,7.96947006485175
"324",13.8,12.2125698792311
"325",9.5,8.8586753933814
"326",12.6,11.6023795318204
"327",0,3.58910004464839
"328",1.9,4.31045045531771
"329",22,20.7542656312794
"330",14.4,13.6375377564943
"331",25.1,24.6712992983851
"332",12.6,12.3674716741391
"333",16,15.2764413944539
"334",15.7,15.2067016841105
"335",13.1,12.7930084423982
"336",10.8,10.5035449316164
"337",12.7,12.8462900757967
"338",23.5,22.1711966032216
"339",18.3,17.6368158893974
"340",13.3,13.3026730248149
"341",12.7,12.5772201549842
"342",8.3,8.6952156692334
"343",14.4,14.0242840072027
"344",10.1,9.99469932414814
"345",17.8,14.7525125290727
"346",16.8,16.6184678538383
"347",10.2,10.1867465383936
"348",9.6,9.49139726819869
"349",16.5,16.4743696416036
"350",10.8,10.246083585039
"351",14.8,12.9628842709871
"352",10.9,11.5448243184728
"353",12.9,11.6256376311291
"354",27.3,26.4330399419286
"355",11.9,12.1436983094057
"356",8.9,8.63317037807748
"357",9.6,9.54500154312716
"358",12.1,12.8889021767808
"359",12.4,11.4683852257822
"360",12.7,11.9698475422211
"361",7.5,8.19557475550037
"362",23.7,23.7861465077412
"363",13.9,13.540806257127
"364",17.8,16.4545364221977
"365",12,12.8149014174983
"366",12.1,12.1395693973258
"367",20.6,21.3431387823601
"368",17.7,16.6831523179522
"369",13,11.6874088768484
"370",10.8,10.1054108185201
"371",11.9,11.4264053915315
"372",11.3,10.8720094441214
"373",12.7,13.1641190405489
"374",13.3,12.4548461172614
"375",22.1,21.7446879770257
"376",8.3,9.828615328791
"377",15.9,16.063725011076
"378",7.3,6.97583363126193
"379",14,13.5229700614592
"380",13,10.8994663710483
"381",20,19.5235706413282
"382",13.8,12.397504007226
"383",1.8,-0.0638089390893484
"384",18.2,18.7612725586571
"385",13.9,13.8408731541215
"386",14.3,14.9087935076919
"387",10.8,10.4049989269649
"388",14.6,14.6043070469202
"389",5.6,4.92064222945233
"390",15.7,14.6946733141405
"391",9,9.36787675772333
"392",8.7,10.8035113406974
"393",16.7,11.9479436255021
"394",13.7,13.1081467142619
"395",15,15.0130195955835
"396",18.2,17.3672101673617
"397",8.5,9.58040305365255
"398",12.3,11.9796186397353
"399",10.5,11.3198588554034
"400",21.3,20.6616041274248
"401",18.5,16.2369575082603
"402",9.4,10.8208877011978
"403",10.8,11.9496869303407
"404",-2.3,-2.64930459907074
"405",12.7,13.1449993554872
"406",20.4,20.5524012497731
"407",10.1,10.4081702945246
"408",23,23.9905145928977
"409",6.7,9.27826959381846
"410",11.7,8.46907439309872
"411",20.5,19.4087408304126
"412",12.7,12.8131982061082
"413",11.7,10.1412822080939
"414",9.9,5.58692572897579
"415",8.9,8.86984199071814
"416",0,5.04618281268605
"417",8,6.88731366582758
"418",-0.8,-3.86368953199189
"419",9.3,9.6815125200957
"420",0,2.26208778530909
"421",0,5.84582057593133
"422",8.7,10.1885834696799
"423",0,5.61740760185524
"424",12.7,11.8981452389717
"425",25.4,25.619603827498
"426",9.7,10.2663249666636
"427",1,-1.96988366964666
"428",13.6,13.3828317460368
"429",18.2,17.6197202417224
"430",0,8.05683962414186
"431",12.8,12.5744102731142
"432",11.9,14.7612475013869
"433",11.6,11.6341525702261
"434",21,21.3763733536614
"435",18.6,18.7971991067964
"436",7.9,3.75680954901466
"437",17,15.5149738967507
"438",6.6,4.73277243538693
"439",14.1,13.8913169001455
"440",7.9,6.27081821088113
"441",0,5.20106855853756
"442",16.8,16.524941619339
"443",11.1,10.0119917554602
"444",-9.7,-6.17199021167284
"445",12.5,12.4158326007581
"446",20.1,21.1002500088244
"447",0,7.6280497684337
"448",11.6,11.3213846846169
"449",0,5.37648414405164
"450",12.2,8.88041005523713
"451",0,0.24649894602716
"452",12,11.3396171895806
"453",2.7,6.08951589780787
"454",15,12.6178019790296
"455",10.9,10.5330013330589
"456",24.4,23.8919650103858
"457",15.2,15.6729220014099
"458",13.2,14.1582028081006
"459",14.8,15.1189592332828
"460",4.1,5.13081506359854
"461",17,16.5903212879337
"462",12,11.5890084856348
"463",0,8.92604198148433
"464",13.7,13.4473972335637
"465",8.1,8.97509390906448
"466",23,24.619064933531
"467",15.4,15.0963627416874
"468",7.8,6.56893210057058
"469",0,-0.252045904645712
"470",15.1,14.8072301971696
"471",22,21.8044690055999
"472",17.2,16.3603924069484
"473",10.2,11.3881872786333
"474",0,8.23313618442051
"475",11.4,11.3760252565981
"476",12.4,12.6074336218065
"477",12.9,12.1595584735211
"478",6,7.2602294370495
"479",11.2,12.0950706959987
"480",10.5,11.3384007910732
"481",10.8,11.6218132201561
"482",16,15.4351116954535
"483",0,3.67875761275643
"484",-8.7,-6.15212319193283
"485",18.9,19.1837110385452
"486",11.9,11.2373879539617
"487",14.1,14.0881061211079
"488",1,1.09528732682688
"489",-7.5,-3.81744110864786
"490",10.5,10.6185793571261
"491",14.2,13.3960604216257
"492",0,-0.411474163878147
"493",4.7,2.65837199435931
"494",8.1,9.10217792289142
"495",12.7,11.7496715234115
"496",10.7,9.75711392239571
"497",6.8,6.12111384155232
"498",10.5,9.48897288800401
"499",17.8,19.0229842504411
"500",15.6,14.7910046219274
"501",12.5,11.9952541280828
"502",11.7,11.005341320142
"503",14.8,13.7535196387425
"504",14.8,14.1662372007196
"505",9.6,8.83941669392834
"506",21,21.839413436266
"507",18,19.5958330928096
"508",11.2,9.86920943719646
"509",13.6,13.2107368697963
"510",0.4,1.26970389411596
"511",15,14.9904974688716
"512",22.9,24.0699493452299
"513",13.9,12.2540630654758
"514",22.8,23.4725085566513
"515",7.8,5.01438753376925
"516",3.7,2.70575673886006
"517",14.6,14.0877352505519
"518",24.1,24.5364802738904
"519",12.1,12.2718371758037
"520",7.1,8.9320009089299
"521",14.5,13.6274014001953
"522",-23.3,-20.1114430803899
"523",9.5,8.83563746938758
"524",11.5,10.0441534601755
"525",11,10.8786802012928
"526",7.5,6.71028681126813
"527",14.9,11.9166147638795
"528",13.5,13.8974825369799
"529",7.9,8.68729605972364
"530",10.2,7.81081203631175
"531",13.4,13.2205730618326
"532",14.6,14.7969749243215
"533",25.6,26.448646249878
"534",14.5,14.9487283473417
"535",14.5,16.0282824304428
"536",17.4,15.7256408717457
"537",12.5,12.6144032882493
"538",12.4,12.3915339399406
"539",10.9,10.0400848606147
"540",20.7,19.9138634681695
