"","MP","pred.MP"
"111",206,260.964465732781
"112",50,74.3744750909133
"113",401,359.686898561954
"114",1709,1796.34631250744
"115",1686,1938.08467646319
"116",2200,2361.23645194587
"117",569,584.737849679465
"118",1990,2127.98780995434
"119",2216,2272.3134150551
"120",1910,1987.14750135785
"121",2126,2418.59568597076
"122",2077,2224.00149848549
"123",2368,2489.39574602576
"124",2190,2444.90296219634
"125",1799,1678.92092387723
"126",2206,2383.27840507544
"127",740,807.950619006154
"128",1224,1353.60580142152
"129",302,293.20666738514
"130",1154,1363.78379856825
"131",384,316.60768626679
"132",267,300.1617364431
"133",2408,2453.90813002642
"134",594,582.159304150363
"135",898,1036.11041004715
"136",649,632.635792429546
"137",2384,2329.3573302143
"138",2272,2129.61118849862
"139",1259,1390.37652944924
"140",2074,2083.26827394181
"141",1045,1086.18413178028
"142",56,56.725361064491
"143",2589,2604.83709915902
"144",1908,2086.85079969574
"145",518,411.850358196999
"146",2098,1956.36739072237
"147",295,409.033476218698
"148",2311,2282.27941573118
"149",2239,2365.0335080485
"150",792,881.073478616256
"151",2390,2396.01020300828
"152",79,88.9911471485626
"153",2369,2322.16939626237
"154",1224,1221.36846176329
"155",1363,1495.68621315091
"156",1001,1135.21591946782
"157",1103,1003.62674196252
"158",13,29.3219782467709
"159",68,77.5411870454989
"160",1795,1799.33022595803
"161",2528,2547.19839929545
"162",1164,1139.11069610344
"163",1032,1027.10468012641
"164",6,1.16481328454364
"165",2047,2229.56464634002
"166",1648,1677.3964466226
"167",1620,1817.22765013294
"168",1119,1171.61124519539
"169",373,504.397919273159
"170",2640,2712.61692887287
"171",2377,2240.75288610975
"172",2918,2988.48900398697
"173",979,1014.40219571964
"174",2685,2362.46208496938
"175",426,443.319363845365
"176",763,870.248409946601
"177",1824,1994.6188005215
"178",2214,2143.45122156258
"179",2,10.0799243534686
"180",2333,2092.93973362763
"181",1399,1457.49269539861
"182",1661,1781.012816294
"183",1305,1185.54105881769
"184",2460,2455.38563890198
"185",243,278.854136106191
"186",1819,1841.9320332129
"187",2178,2215.37084585059
"188",1182,1294.66542999391
"189",72,92.8957852324686
"190",1360,1736.13246578669
"191",2843,2822.20911915836
"192",1,18.5572433180043
"193",2767,2859.35511820578
"194",110,134.5414663263
"195",462,452.562172595218
"196",19,18.9133777212298
"197",1743,1714.27810187744
"198",983,773.042976549566
"199",40,50.8855596573924
"200",1577,1449.94243372374
"201",2345,2417.28373469995
"202",1028,1035.10801403009
"203",2231,2166.33377221218
"204",2145,2265.34840194852
"205",2250,2388.85420506957
"206",2111,1954.96387703946
"207",2364,2397.69377252141
"208",1250,1166.87935728802
"209",1147,1109.15616228782
"210",1242,1283.59134470289
"211",1866,1833.1861249993
"212",1622,1708.79263465911
"213",927,996.960011030865
"214",1533,1574.74744350148
"215",1943,2073.25572700419
"216",2406,2432.36938833326
"217",2229,2354.38171508092
"218",2501,2360.61001603187
"219",423,355.843561760057
"220",1793,1977.27659264723
"221",971,1164.07307653387
"222",642,636.472836671428
"223",1810,1572.36465943068
"224",2150,2374.30475020117
"225",1055,996.424829713957
"226",0,318.398759205564
"227",1133,861.034945335685
"228",1284,1403.41943723774
"229",764,837.269666345728
"230",1592,1568.73745705206
"231",2647,2489.31996211992
"232",2531,2602.16378146122
"233",91,123.515064865229
"234",1617,1587.27923871516
"235",1701,1875.10652937856
"236",2191,2155.13542066753
"237",14,27.0542237901344
"238",1943,1975.27528762065
"239",1965,1866.44574914461
"240",2220,2167.9192967524
"241",2492,2488.73568279489
"242",2582,2457.39534704552
"243",460,422.572729417205
"244",2401,2259.8861662543
"245",1560,1296.99229329547
"246",1191,1332.3888836161
"247",2344,2464.43865974785
"248",1848,1839.44151640252
"249",2198,2148.96585100687
"250",400,450.784542093586
"251",1778,1950.23881493066
"252",1372,1493.17122087512
"253",1260,1457.45651456009
"254",1013,1205.09248901802
"255",1130,1090.36686957832
"256",1274,1315.31771730856
"257",2491,2752.13410938743
"258",1476,1317.92850410423
"259",1759,1617.46655692954
"260",807,846.961282789884
"261",43,43.0240557481049
"262",2100,2137.83503243916
"263",2114,2164.22985164485
"264",935,911.09845642401
"265",1154,1176.80258124671
"266",188,207.026169847471
"267",1695,1834.66941307506
"268",55,42.9056659461401
"269",167,159.315718972367
"270",2851,2841.92313939358
"271",997,999.278736261678
"272",2516,2136.08869076552
"273",1235,1345.26327719688
"274",1673,1760.1904674769
"275",2403,2379.97568036339
"276",72,44.3445497984687
"277",2470,2265.66959211444
"278",656,537.320323792124
"279",1378,1524.99373239517
"280",118,87.4409618577082
"281",1176,1210.28764713033
"282",37,56.8491615550608
"283",2761,2733.52381515168
"284",633,667.122980056424
"285",670,776.919600416954
"286",119,92.5293069253116
"287",2338,2277.68120755332
"288",159,101.822044259521
"289",20,33.710516911421
"290",2691,2705.7864267895
