"","AST.","predAST."
"129",10.5,10.6072674610293
"130",24.3,23.8007382828771
"131",6.8,7.98785382302348
"132",14.1,13.9821301885513
"133",10.1,10.1371210913833
"134",16.8,16.2162132933097
"135",6.4,7.4981315781445
"136",10.3,10.5450686159335
"137",7.1,5.88866481050135
"138",13,13.9770859938483
"139",10.9,11.3162566674266
"140",7.2,8.27206992531727
"141",21.4,21.8921022420592
"142",4.4,3.53646709415453
"143",5.3,5.12727830513803
"144",7.6,8.29256425364063
"145",8,9.33599050295094
"146",10.6,12.212266537713
"147",11.6,12.5478336824943
"148",12,7.61781016929805
"149",8.4,8.90915578300135
"150",20.8,19.7285329825466
"151",13.9,14.2021880858466
"152",9.1,9.6284994631609
"153",12.6,14.4175685092551
"154",15.7,14.9029091283906
"155",23.3,22.8553582100599
"156",13.6,13.2007497767411
"157",3.4,1.82299381127706
"158",14.6,14.2509177359113
"159",5.8,5.95958346090261
"160",24.6,25.5286653976273
"161",5.3,6.67855159355589
"162",11.6,11.7893991392839
"163",9.5,8.41894820634113
"164",9.1,9.73471166514566
"165",9.7,10.1065088123006
"166",8.2,8.74991193591872
"167",12.3,14.0163996942463
"168",22.7,23.3165685088027
"169",16.3,16.5575992312513
"170",15.3,16.0281609209257
"171",16.4,18.2150774018673
"172",19.2,19.2435080444274
"173",8,9.35727038410663
"174",21.5,21.4161087654257
"175",9.4,9.95427703470765
"176",20.1,20.1554438780448
"177",8.2,9.1683271684718
"178",13.6,13.4246630948225
"179",4.9,4.42953739072408
"180",4,5.44654740650971
"181",4.5,4.09985724716956
"182",11.7,12.2195407695332
"183",16.4,14.6319255371812
"184",7.4,6.67316002405318
"185",5.9,5.9899325043634
"186",14.6,15.6250091294209
"187",15.4,16.0327706822329
"188",4.2,5.27853530181283
"189",16.2,15.8674725112787
"190",12.8,13.2736322655104
"191",4.8,4.10129950700119
"192",34.5,34.9152656258892
"193",40.3,40.0300706075856
"194",13.8,13.3225977888604
"195",6.6,5.96495477891004
"196",3.7,4.06393300553989
"197",12.8,13.2304289813675
"198",14.1,14.6035618718219
"199",4.9,6.24603651329325
"200",14.3,14.4495236225341
"201",11.3,12.1823419028518
"202",12.2,13.3995585592399
"203",13.5,14.2594243290868
"204",4.5,3.67393362288904
"205",16.8,15.5283977348817
"206",5.8,7.90335567698933
"207",11.7,12.0700906826508
"208",5,4.17755399137084
"209",11.2,10.8813413174257
"210",10.3,10.7651331521191
"211",9.1,9.32023319969665
"212",10.5,11.0802587747645
"213",13.4,13.6695757388953
"214",15.3,15.9478900628282
"215",9.9,10.9805380889535
"216",11,10.9371935032508
"217",4.1,4.39986470615736
"218",16.8,17.2840115774548
"219",5.3,5.08007230501376
"220",58.1,45.5161069432924
"221",15.7,18.0127122198728
"222",21.9,20.6294443691055
"223",5.4,4.91721214700364
"224",21.9,21.7062931526079
"225",8.3,9.48946568502632
"226",7.4,8.58780842673152
"227",17.9,19.4603301152514
"228",7.7,8.79580184946057
"229",4.1,3.91460014466665
"230",11.6,12.5300612907419
"231",14.4,13.9732416872843
"232",14.3,15.7296328060118
"233",13.6,13.5936903058762
"234",11.3,11.492118579423
"235",5.1,3.18546570117105
"236",9.2,10.0663668742886
"237",18.1,17.7011034197476
