"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"56","Red Kerr","C","31","PHI","80","2938","17.1","0.476","0","0.286","0","0","0","0","0","0","0","0","2.3","2.6","4.9","0.08","0","0","0","0",1964
"57","Jim King","PG","22","LAL","60","762","11.4","0.483","0","0.51","0","0","0","0","0","0","0","0","0.6","0.5","1.1","0.069","0","0","0","0",1964
"58","Don Kojis","SF","25","BAL","78","1148","12.6","0.445","0","0.302","0","0","0","0","0","0","0","0","-0.1","0.8","0.7","0.031","0","0","0","0",1964
"59","Jim Krebs","C","28","LAL","68","975","9.8","0.422","0","0.238","0","0","0","0","0","0","0","0","-0.6","0.7","0.1","0.004","0","0","0","0",1964
"60","Rudy LaRusso","PF","26","LAL","79","2746","14.1","0.511","0","0.512","0","0","0","0","0","0","0","0","3.6","1.9","5.5","0.096","0","0","0","0",1964
"61","George Lee","SF","27","SFW","54","522","8.9","0.437","0","0.42","0","0","0","0","0","0","0","0","-0.1","0.7","0.6","0.057","0","0","0","0",1964
"62","Jim Loscutoff","SF","33","BOS","53","451","5.8","0.332","0","0.17","0","0","0","0","0","0","0","0","-1.3","1.2","0","-0.005","0","0","0","0",1964
"63","Kevin Loughery","SG","23","TOT","66","1459","10.4","0.422","0","0.281","0","0","0","0","0","0","0","0","-0.8","0.9","0.1","0.003","0","0","0","0",1964
"64","Clyde Lovellette*","C","34","BOS","45","437","16.8","0.456","0","0.187","0","0","0","0","0","0","0","0","0.1","1.2","1.3","0.145","0","0","0","0",1964
"65","Jerry Lucas*","PF","23","CIN","79","3273","18.9","0.578","0","0.385","0","0","0","0","0","0","0","0","8.8","3.9","12.7","0.187","0","0","0","0",1964
"66","Johnny McCarthy","PG","29","BOS","28","206","4.8","0.344","0","0.271","0","0","0","0","0","0","0","0","-0.3","0.5","0.2","0.056","0","0","0","0",1964
"67","Bill McGill","C","24","TOT","74","1784","18.7","0.526","0","0.301","0","0","0","0","0","0","0","0","4.5","0.2","4.6","0.124","0","0","0","0",1964
"68","Tom Meschery","SF","25","SFW","80","2422","14.8","0.499","0","0.31","0","0","0","0","0","0","0","0","3.3","4.2","7.5","0.148","0","0","0","0",1964
"69","Eddie Miles","SG","23","DET","60","811","8","0.396","0","0.235","0","0","0","0","0","0","0","0","-1.2","0.3","-0.9","-0.053","0","0","0","0",1964
"70","Jackie Moreland","PF","25","DET","78","1780","12.1","0.484","0","0.329","0","0","0","0","0","0","0","0","1.5","0.8","2.3","0.062","0","0","0","0",1964
"71","Willie Naulls","SF","29","BOS","78","1409","14.4","0.458","0","0.204","0","0","0","0","0","0","0","0","0.4","3.5","3.9","0.132","0","0","0","0",1964
"72","Don Nelson*","SF","23","LAL","80","1406","10.6","0.509","0","0.622","0","0","0","0","0","0","0","0","1.5","0.8","2.3","0.08","0","0","0","0",1964
"73","Paul Neumann","PG","26","PHI","74","1973","14.3","0.505","0","0.363","0","0","0","0","0","0","0","0","2.9","1.3","4.2","0.103","0","0","0","0",1964
"74","Bevo Nordmann","C","24","TOT","19","259","5.8","0.424","0","0.288","0","0","0","0","0","0","0","0","-0.1","0.2","0","0.008","0","0","0","0",1964
"75","Don Ohl","SG","27","DET","71","2366","12.2","0.447","0","0.27","0","0","0","0","0","0","0","0","0.1","0.8","0.8","0.017","0","0","0","0",1964
"76","Bud Olsen","PF","23","CIN","49","513","10.9","0.43","0","0.271","0","0","0","0","0","0","0","0","-0.2","0.5","0.2","0.022","0","0","0","0",1964
"77","Mel Peterson","G-F","25","BAL","2","3","20.8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.514","0","0","0","0",1964
"78","Bob Pettit*","PF","31","STL","80","3296","23.6","0.535","0","0.451","0","0","0","0","0","0","0","0","10.1","4.8","14.9","0.217","0","0","0","0",1964
"79","Gary Phillips","SG","24","SFW","66","2010","8.7","0.418","0","0.315","0","0","0","0","0","0","0","0","-1.2","2.9","1.7","0.04","0","0","0","0",1964
"80","Frank Ramsey*","SG","32","BOS","75","1227","12.6","0.459","0","0.386","0","0","0","0","0","0","0","0","0.5","2.7","3.2","0.125","0","0","0","0",1964
"81","Hub Reed","C","27","LAL","46","386","6.5","0.389","0","0.165","0","0","0","0","0","0","0","0","-0.3","0.3","0","-0.006","0","0","0","0",1964
"82","Oscar Robertson*","PG","25","CIN","79","3559","27.6","0.576","0","0.539","0","0","0","0","0","0","0","0","16.2","4.4","20.6","0.278","0","0","0","0",1964
"83","Guy Rodgers*","PG","28","SFW","79","2695","12.4","0.417","0","0.303","0","0","0","0","0","0","0","0","-1.2","5.2","4","0.071","0","0","0","0",1964
"84","Ken Rohloff","G","24","STL","2","7","-9.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.131","0","0","0","0",1964
"85","John Rudometkin","SF","23","NYK","52","696","16.5","0.524","0","0.356","0","0","0","0","0","0","0","0","1.5","0","1.6","0.108","0","0","0","0",1964
"86","Bill Russell*","C","29","BOS","78","3482","19.3","0.461","0","0.398","0","0","0","0","0","0","0","0","1.3","16","17.3","0.238","0","0","0","0",1964
"87","Tom Sanders*","PF","25","BOS","80","2370","12.7","0.475","0","0.335","0","0","0","0","0","0","0","0","1.5","6.1","7.6","0.154","0","0","0","0",1964
"88","Dolph Schayes*","PF","35","PHI","24","350","11.5","0.399","0","0.399","0","0","0","0","0","0","0","0","-0.4","0.3","-0.1","-0.01","0","0","0","0",1964
"89","Ray Scott","PF","25","DET","80","2964","16.9","0.466","0","0.349","0","0","0","0","0","0","0","0","1.7","1.7","3.4","0.055","0","0","0","0",1964
