"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"75","Alex Hannum*","PF",26,"SYR",64,0,1753,177,488,0.363,0,0,0,177,488,0.363,0.363,128,186,0.688,0,0,0,129,0,0,0,264,482,1950,12.1614056433706,0.423,0,0.381,0,0,4.62219791488873,10.2265441375419,0,0,0,0,2,3.2,5.1,0.139646320593269,0,0,0,0
"76","John Hargis","G-F",29,"AND",60,0,1732,223,550,0.405,0,0,0,223,550,0.405,0.405,197,277,0.711,0,0,0,102,0,0,0,170,643,1950,17.4522034124038,0.479,0,0.504,0,0,7.16020234820371,7.69023406135099,0,0,0,0,4.8,3.6,8.4,0.232794457274827,0,0,0,0
"77","Bob Harris","F-C",22,"FTW",62,0,1624,168,465,0.361,0,0,0,168,465,0.361,0.361,140,223,0.628,0,0,0,129,0,0,0,190,476,1950,14.308914563165,0.423,0,0.48,0,0,5.11337519116403,11.3012247541942,0,0,0,0,2.1,3,5,0.147783251231527,0,0,0,0
"78","Bob Harrison","G",22,"MNL",66,0,1357,125,348,0.359,0,0,0,125,348,0.359,0.359,50,74,0.676,0,0,0,131,0,0,0,175,300,1950,12.05419339584,0.394,0,0.213,0,0,1.27274715250622,13.4734474815256,0,0,0,0,0.7,2.7,3.5,0.123802505526898,0,0,0,0
"79","Billy Hassett","G",28,"TOT",60,0,1192,84,302,0.278,0,0,0,84,302,0.278,0.278,104,161,0.646,0,0,0,137,0,0,0,136,272,1950,8.89116654336579,0.365,0,0.533,0,0,0,15.5198676415911,0,0,0,0,0,1.8,1.8,0.0724832214765101,0,0,0,0
"80","Marshall Hawkins","F",25,"INO",39,0,526,55,195,0.282,0,0,0,55,195,0.282,0.282,42,61,0.689,0,0,0,51,0,0,0,87,152,1950,7.43839465104295,0.343,0,0.313,0,0,0,13.0431319005229,0,0,0,0,-0.5,0.4,-0.1,-0.0091254752851711,0,0,0,0
"81","Bill Henry","C",25,"TOT",63,0,863,89,278,0.32,0,0,0,89,278,0.32,0.32,118,176,0.67,0,0,0,48,0,0,0,122,296,1950,11.72100081612,0.416,0,0.633,0,0,0.734133116489614,7.49795410529717,0,0,0,0,1,1.5,2.5,0.139049826187717,0,0,0,0
"82","Bill Herman","G",25,"DNN",13,0,122,25,65,0.385,0,0,0,25,65,0.385,0.385,6,11,0.545,0,0,0,15,0,0,0,13,56,1950,3.97582807643442,0.401,0,0.169,0,0,7.34677681384627,13.6512816755066,0,0,0,0,0.1,-0.1,0.1,0.039344262295082,0,0,0,0
"83","Kleggie Hermsen","C-F",26,"CHS",67,0,1736,196,615,0.319,0,0,0,196,615,0.319,0.319,153,247,0.619,0,0,0,98,0,0,0,267,545,1950,10.528765653389,0.377,0,0.402,0,0,4.71343578046184,8.10098410101427,0,0,0,0,-0.2,3.3,3,0.0829493087557604,0,0,0,0
"84","Sonny Hertzberg","G",27,"BOS",68,0,2014,275,865,0.318,0,0,0,275,865,0.318,0.318,143,191,0.749,0,0,0,200,0,0,0,153,693,1950,11.1765645612855,0.365,0,0.221,0,0,4.55304359311689,15.5696745111758,0,0,0,0,-0.9,1.6,0.7,0.0166832174776564,0,0,0,0
