"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"18","John Block","PF",29,"KCO",82,0,1777,275,634,0.434,0,0,0,275,634,0.434,0.434,164,206,0.796,129,260,389,94,68,35,125,229,714,1974,13.2,0.493,0,0.325,7.6,15.3,11.5,7.6,1.7,1,14.446030215314,19.7732982825344,0.8,1.5,2.3,0.062,-1.5,-0.5,-2,0
"19","Tom Boerwinkle","C",28,"CHI",46,0,602,58,119,0.487,0,0,0,58,119,0.487,0.487,42,60,0.7,53,160,213,94,16,18,54,80,158,1974,15.4,0.543,0,0.504,9,28,18.3,21.2,1.2,1.6,30.7239690695461,13.167647671924,0.5,1.2,1.7,0.134,-0.1,3.1,3,0.8
"20","Freddie Boyd","PG",23,"PHI",75,0,1818,286,712,0.402,0,0,0,286,712,0.402,0.402,141,195,0.723,16,77,93,249,60,9,148,173,713,1974,10.9,0.447,0,0.274,0.8,4.2,2.5,19.9,1.5,0.3,15.6102310877178,21.6270986135329,-0.9,0.7,-0.2,-0.007,-3,-1.1,-4.1,-1
"21","Steve Bracey","PG",23,"ATL",75,0,1463,241,520,0.463,0,0,0,241,520,0.463,0.463,69,96,0.719,26,120,146,231,60,5,110,157,551,1974,12.5,0.49,0,0.185,1.8,8.4,5,21.1,1.8,0.2,16.0291328069871,18.3616124998976,0.6,0.9,1.5,0.05,-1.8,-0.5,-2.4,-0.1
"22","Bill Bradley*","SF",30,"NYK",82,0,2813,502,1112,0.451,0,0,0,502,1112,0.451,0.451,146,167,0.874,59,194,253,242,42,21,157,278,1150,1974,11.1,0.485,0,0.15,2.2,7.2,4.7,12.3,0.7,0.4,11.4671796767224,20.7371533112961,1.6,2.6,4.2,0.071,-1.5,-0.6,-2.1,-0.1
"23","Jim Brewer","PF",22,"CLE",82,0,1862,210,548,0.383,0,0,0,210,548,0.383,0.383,80,123,0.65,207,317,524,149,46,35,110,192,500,1974,10.9,0.415,0,0.224,10.8,18.5,14.4,10.6,1.1,1,14.5282538767059,15.7261378889008,-0.3,1.5,1.3,0.032,-1.9,-0.5,-2.3,-0.1
"24","Bill Bridges","PF",34,"LAL",65,0,1812,216,513,0.421,0,0,0,216,513,0.421,0.421,116,164,0.707,193,306,499,148,58,31,141,219,548,1974,11.6,0.468,0,0.32,10.1,14.8,12.6,10.5,1.4,0.8,18.5807823272033,15.2496317380306,0.8,2,2.8,0.074,-1.5,-0.2,-1.7,0.2
"25","John Brisker","SF",26,"SEA",35,0,717,178,396,0.449,0,0,0,178,396,0.449,0.449,82,100,0.82,59,87,146,56,28,6,49,70,438,1974,17.3,0.498,0,0.253,7.6,12.4,9.9,11.9,1.7,0.4,7.7547127377365,25.5857387710828,1.1,0.6,1.7,0.115,1.6,-0.9,0.8,0.5
"26","Allan Bristow","SF",22,"PHI",55,0,643,108,270,0.4,0,0,0,108,270,0.4,0.4,42,57,0.737,68,99,167,92,29,1,63,68,258,1974,15,0.437,0,0.211,9.7,15.4,12.5,21.2,2,0.1,16.947019022561,22.832024916881,-0.1,0.6,0.5,0.039,-0.2,-0.1,-0.4,0.3
"27","Fred Brown","SG",25,"SEA",82,0,2501,578,1226,0.471,0,0,0,578,1226,0.471,0.471,195,226,0.863,114,287,401,414,136,18,196,276,1351,1974,17.9,0.51,0,0.184,4.2,11.7,7.8,24.5,2.4,0.4,13.1661604661208,22.9326941535241,4,2.4,6.4,0.123,1.2,0.6,1.9,2.4
"28","John Brown","SF",22,"ATL",77,0,1715,277,632,0.438,0,0,0,277,632,0.438,0.438,163,217,0.751,177,264,441,114,29,16,130,239,717,1974,12.8,0.493,0,0.343,10.2,15.8,12.9,8.9,0.7,0.5,14.7569237599301,19.8677861458421,1.2,1.1,2.3,0.063,-1.5,-1.7,-3.2,-0.5
"29","Corky Calhoun","SF",23,"PHO",77,0,2207,268,581,0.461,0,0,0,268,581,0.461,0.461,98,129,0.76,115,292,407,135,71,30,123,253,634,1974,9.8,0.497,0,0.222,5.3,13.3,9.3,7.9,1.4,0.7,15.6662243513222,13.5096571383561,1.1,1.1,2.2,0.048,-1.6,-0.4,-2,0
"30","Larry Cannon","SG",26,"PHI",19,0,335,49,127,0.386,0,0,0,49,127,0.386,0.386,19,28,0.679,16,20,36,52,7,4,28,48,117,1974,10.2,0.42,0,0.22,4.4,6,5.2,22.2,0.9,0.6,16.5948676074518,22.5861954029332,-0.3,0.1,-0.2,-0.029,-3.1,-1.1,-4.1,-0.2
"31","Austin Carr","SG",25,"CLE",81,0,3100,748,1682,0.445,0,0,0,748,1682,0.445,0.445,279,326,0.856,139,150,289,305,92,14,185,189,1775,1974,15.8,0.486,0,0.194,4.3,5.3,4.8,15.8,1.4,0.2,8.59952202942476,25.999107915595,4.5,0.9,5.4,0.084,1.3,-1.5,-0.2,1.4
"32","Fred Carter","SG",28,"PHI",78,0,3044,706,1641,0.43,0,0,0,706,1641,0.43,0.43,254,358,0.709,82,289,371,443,113,23,299,276,1666,1974,15.7,0.463,0,0.218,2.5,9.5,5.8,23.8,1.6,0.4,14.6983179690214,27.6660935923994,0.3,2,2.3,0.036,-0.1,-0.7,-0.8,0.9
"33","Bill Chamberlain","SF",24,"PHO",28,0,367,57,130,0.438,0,0,0,57,130,0.438,0.438,39,56,0.696,33,47,80,37,20,12,35,74,153,1974,14.2,0.495,0,0.431,9.2,12.8,11,13.5,2.4,1.7,17.8806121130611,21.3324079377305,0.2,0.3,0.5,0.063,-1.8,0.4,-1.4,0.1
"34","Don Chaney","SG",27,"BOS",81,0,2258,348,750,0.464,0,0,0,348,750,0.464,0.464,149,180,0.828,210,168,378,176,83,62,133,247,845,1974,12.9,0.51,0,0.24,9.2,7,8.1,10.2,1.6,1.3,13.8000189833286,16.0848617674245,3,2.9,5.8,0.124,0.1,0.9,1,1.7
"35","Ken Charles","SG",22,"BUF",59,0,693,88,185,0.476,0,0,0,88,185,0.476,0.476,53,79,0.671,25,40,65,54,31,10,48,91,229,1974,10.2,0.521,0,0.427,3.7,5.6,4.7,9.6,1.9,0.7,17.7283244754215,15.4996054242611,0.3,0.3,0.6,0.045,-2.5,0,-2.5,-0.1
"36","Phil Chenier","SG",23,"CAP",76,0,2942,697,1607,0.434,0,0,0,697,1607,0.434,0.434,274,334,0.82,114,274,388,239,155,67,186,135,1668,1974,17.2,0.475,0,0.208,3.6,9,6.3,12.6,2.4,1.2,8.79390567041838,26.3585818348697,3.1,4.3,7.4,0.121,1.4,1.2,2.5,3.4
"37","Bob Christian","C",27,"PHO",81,0,1244,140,288,0.486,0,0,0,140,288,0.486,0.486,106,151,0.702,85,254,339,98,19,32,87,191,386,1974,11.7,0.545,0,0.524,7,20.5,13.8,10,0.7,1.3,19.1393050486137,14.1284836741457,1,0.8,1.9,0.072,-1.7,-0.2,-1.9,0
"38","Archie Clark","PG",32,"CAP",56,0,1786,315,675,0.467,0,0,0,315,675,0.467,0.467,103,131,0.786,44,97,141,285,59,6,99,122,733,1974,14.4,0.5,0,0.194,2.3,5.2,3.8,22.6,1.5,0.2,11.1136379181532,18.9686134281819,2.2,1.7,4,0.107,-0.1,0,-0.1,0.9
"39","Jim Cleamons","PG",24,"CLE",81,0,1642,236,545,0.433,0,0,0,236,545,0.433,0.433,93,133,0.699,63,167,230,227,61,17,100,152,565,1974,12.5,0.468,0,0.244,3.7,11.1,7.2,19.2,1.7,0.6,13.9914854864899,17.5007043745331,0.6,1.1,1.7,0.049,-1.4,0.1,-1.3,0.3
"40","Barry Clemens","SF",30,"CLE",71,0,913,163,346,0.471,0,0,0,163,346,0.471,0.471,62,73,0.849,42,124,166,80,36,2,55,136,388,1974,13.4,0.513,0,0.211,4.5,14.8,9.3,12.8,1.8,0.1,12.3789668644661,18.4073244939533,0.9,0.7,1.6,0.086,-1.7,0.2,-1.5,0.1
"41","E.C. Coleman","PF",23,"HOU",58,0,1075,128,250,0.512,0,0,0,128,250,0.512,0.512,47,74,0.635,81,171,252,76,37,20,65,162,303,1974,11.3,0.536,0,0.296,8.1,16.8,12.5,9.1,1.6,1,18.9147919696728,13.0435565959942,0.8,0.8,1.7,0.074,-1.5,0.1,-1.4,0.2
"42","Doug Collins","SG",22,"PHI",25,0,436,72,194,0.371,0,0,0,72,194,0.371,0.371,55,72,0.764,7,39,46,40,13,2,40,65,199,1974,10.5,0.441,0,0.371,1.5,9,5.1,13.5,1.3,0.2,14.7447133659229,25.5663722309605,-0.5,0.2,-0.3,-0.028,-4.6,-1.1,-5.6,-0.4
"43","Mel Counts","C",32,"LAL",45,0,499,61,167,0.365,0,0,0,61,167,0.365,0.365,24,33,0.727,56,90,146,54,20,23,52,85,146,1974,11.4,0.402,0,0.198,10.7,15.9,13.4,14,1.7,2.2,21.1460761257192,19.0558447479649,-0.4,0.7,0.3,0.031,-3,0.8,-2.2,0
"44","Dave Cowens*","C",25,"BOS",80,0,3352,645,1475,0.437,0,0,0,645,1475,0.437,0.437,228,274,0.832,264,993,1257,354,95,101,255,294,1518,1974,16.6,0.476,0,0.186,7.8,27.9,18.1,14.6,1.2,1.5,14.353771133258,21.6323193261811,2.6,6.7,9.3,0.134,0.4,1.5,1.9,3.3
"45","Dick Cunningham","C",27,"MIL",8,0,45,3,6,0.5,0,0,0,3,6,0.5,0.5,0,7,0,1,15,16,0,2,2,0,5,6,1974,6.1,0.33,0,1.167,2.4,31.7,18.1,0,2,2.3,0,6.6549186820603,-0.1,0.1,0,-0.009,-4.2,0.3,-3.9,0
"46","Mike D'Antoni","SG",22,"KCO",52,0,989,107,266,0.402,0,0,0,107,266,0.402,0.402,33,47,0.702,24,69,93,123,75,15,73,112,247,1974,10.4,0.431,0,0.177,2.5,7.3,4.9,16.7,3.4,0.8,20.4284734679556,15.5980839020892,-0.7,0.9,0.3,0.012,-3.3,1.8,-1.5,0.1
"47","Bob Dandridge","SF",26,"MIL",71,0,2521,583,1158,0.503,0,0,0,583,1158,0.503,0.503,175,214,0.818,117,362,479,201,111,41,162,271,1341,1974,17,0.535,0,0.185,5.1,13.7,9.7,11.2,2,0.8,11.5613685503527,22.0586011965203,4.4,4,8.4,0.16,0.9,0.6,1.5,2.3
"48","Charlie Davis","SG",24,"POR",8,0,90,14,40,0.35,0,0,0,14,40,0.35,0.35,3,4,0.75,2,9,11,11,2,0,4,7,31,1974,8.2,0.371,0,0.1,2.2,10.4,6.2,16.2,1,0,10.7525627786115,22.3835842228312,-0.1,0,-0.1,-0.068,-3.8,-1.2,-5,-0.1
"49","Dwight Davis","PF",24,"CLE",76,0,2477,376,862,0.436,0,0,0,376,862,0.436,0.436,197,274,0.719,174,470,644,186,63,74,153,291,949,1974,13.5,0.483,0,0.318,6.8,20.7,13.3,10.5,1.2,1.6,13.4506353043308,17.983800839547,1.3,2.4,3.7,0.072,-1.3,0.2,-1.2,0.5
"50","Jim Davis","C",32,"DET",78,0,947,117,283,0.413,0,0,0,117,283,0.413,0.413,90,139,0.647,102,191,293,86,39,30,86,158,324,1974,13.7,0.471,0,0.491,11.1,20.7,15.9,12.1,1.9,1.7,18.900398829993,19.1077756704334,0,1.8,1.8,0.092,-2.1,1.3,-0.7,0.3
"51","Mel Davis","PF",23,"NYK",30,0,167,33,95,0.347,0,0,0,33,95,0.347,0.347,12,16,0.75,17,37,54,8,3,4,16,36,78,1974,10.5,0.382,0,0.168,10.7,23.3,17,7,0.8,1.3,14.6665771082787,29.6766362098091,-0.4,0.3,-0.2,-0.045,-5.7,-1.1,-6.7,-0.3
"52","Mickey Davis","SF",23,"MIL",73,0,1012,169,335,0.504,0,0,0,169,335,0.504,0.504,93,112,0.83,78,146,224,87,27,5,62,94,431,1974,15.5,0.561,0,0.334,8.4,13.7,11.3,11.1,1.2,0.3,13.04154933073,17.6401209033698,2,1.3,3.4,0.159,1.1,-0.1,0.9,0.8
"53","Dave DeBusschere*","PF",33,"NYK",71,0,2699,559,1212,0.461,0,0,0,559,1212,0.461,0.461,164,217,0.756,134,623,757,253,67,39,158,222,1282,1974,16.3,0.49,0,0.179,5.2,24.2,14.8,13.9,1.2,0.8,10.9537244934797,22.1592863816727,2.4,4.6,7,0.125,0.9,0.7,1.7,2.5
"54","Derrek Dickey","PF",22,"GSW",66,0,930,115,233,0.494,0,0,0,115,233,0.494,0.494,51,66,0.773,123,216,339,54,17,15,63,112,281,1974,13.4,0.536,0,0.283,12.8,21.5,17.2,7.1,0.8,0.8,18.9404706253558,12.8556292869877,1.3,1,2.3,0.116,-0.1,-0.7,-0.8,0.3
"55","Ernie DiGregorio","PG",23,"BUF",81,0,2910,530,1260,0.421,0,0,0,530,1260,0.421,0.421,174,193,0.902,48,171,219,663,59,9,268,242,1234,1974,13.6,0.459,0,0.153,1.7,5.7,3.7,30.1,0.9,0.2,15.9361309422138,22.8620616447928,0.9,0.4,1.2,0.021,-0.9,-2.9,-3.8,-1.3
"56","Steve Downing","C",23,"BOS",24,0,137,21,64,0.328,0,0,0,21,64,0.328,0.328,22,38,0.579,14,25,39,11,5,0,17,33,64,1974,10.2,0.396,0,0.594,10.2,17.2,13.8,10.5,1.6,0,17.0862238086116,31.8823309807333,-0.3,0.2,-0.1,-0.038,-5.8,-0.5,-6.3,-0.2
"57","Terry Driscoll","PF",26,"MIL",64,0,697,88,187,0.471,0,0,0,88,187,0.471,0.471,30,46,0.652,73,126,199,54,21,16,52,121,206,1974,11.9,0.497,0,0.246,11.4,17.2,14.5,9.5,1.4,1.2,19.9338068081682,15.6093690965764,0.3,1.1,1.5,0.1,-2.1,0.7,-1.3,0.1
"58","Ken Durrett","SF",25,"KCO",45,0,462,86,176,0.489,0,0,0,86,176,0.489,0.489,42,69,0.609,28,50,78,19,13,5,30,68,214,1974,13,0.519,0,0.392,6.3,11.3,8.8,6.2,1.3,0.6,12.1371832993516,21.373967945844,0.3,0.2,0.5,0.052,-1.9,-1.4,-3.2,-0.1
"59","Joe Ellis","SF",29,"GSW",50,0,515,61,190,0.321,0,0,0,61,190,0.321,0.321,18,31,0.581,37,85,122,37,33,9,38,76,140,1974,8.5,0.344,0,0.163,6.9,15.3,11.2,8.7,2.8,0.9,15.887056725704,19.3386975588606,-0.9,0.7,-0.2,-0.02,-4.7,0.6,-4,-0.3
"60","Leroy Ellis","C",33,"PHI",81,0,2831,326,722,0.452,0,0,0,326,722,0.452,0.452,147,196,0.75,292,598,890,189,86,87,158,224,799,1974,13.2,0.494,0,0.271,9.5,21.2,15.1,9.2,1.3,1.6,15.6597639496608,12.301340211149,2.5,3.4,5.8,0.099,-0.1,0.5,0.4,1.7
"61","Keith Erickson","SF",29,"PHO",66,0,2033,393,824,0.477,0,0,0,393,824,0.477,0.477,177,221,0.801,94,320,414,205,63,20,138,193,963,1974,15.3,0.523,0,0.268,4.7,15.8,10.3,14.3,1.4,0.5,13.2787436721933,20.1199885519186,2.9,1.1,4.1,0.096,0.8,-0.8,0.1,1.1
"62","Hank Finkel","C",31,"BOS",60,0,427,60,130,0.462,0,0,0,60,130,0.462,0.462,28,43,0.651,41,94,135,27,3,7,26,62,148,1974,11.6,0.497,0,0.331,9.5,20.7,15.3,8.1,0.3,0.8,14.9922133136542,16.3148200427585,0.3,0.6,0.9,0.096,-2.1,0,-2.1,0
"63","Chris Ford","SG",25,"DET",82,0,2059,264,595,0.444,0,0,0,264,595,0.444,0.444,57,77,0.74,109,195,304,279,148,14,115,159,585,1974,12.9,0.465,0,0.129,5.5,9.7,7.6,18.2,3.2,0.4,14.5593209772116,14.5902302292044,0.9,3.4,4.3,0.1,-0.9,2.5,1.6,1.9
"64","Fred Foster","SF",27,"CLE",58,0,649,112,288,0.389,0,0,0,112,288,0.389,0.389,54,64,0.844,43,65,108,62,19,6,46,79,278,1974,12.1,0.44,0,0.222,6.4,10.9,8.5,13.8,1.4,0.5,12.6005369418876,22.431811551769,0,0.4,0.3,0.026,-1.9,-1.2,-3,-0.2
"65","Jim Fox","C",30,"SEA",78,0,2179,322,673,0.478,0,0,0,322,673,0.478,0.478,241,293,0.823,244,470,714,227,56,21,146,247,885,1974,16.3,0.552,0,0.435,10.4,22,15.9,13.7,1.1,0.5,15.3783166054271,15.7760412067966,4.4,2.2,6.6,0.146,1.1,0.1,1.2,1.7
"66","Walt Frazier*","PG",28,"NYK",80,0,3338,674,1429,0.472,0,0,0,674,1429,0.472,0.472,295,352,0.838,120,416,536,551,161,15,237,212,1643,1974,18.7,0.519,0,0.246,3.8,13.1,8.5,24.4,2.2,0.2,13.0396043424737,23.1644338022353,5.9,5.1,10.9,0.157,2.1,1.2,3.2,4.4
"67","Rod Freeman","SF",23,"PHI",35,0,265,39,103,0.379,0,0,0,39,103,0.379,0.379,28,41,0.683,22,32,54,14,12,1,23,42,106,1974,10.9,0.438,0,0.398,7.6,12.1,9.8,7.6,2,0.2,15.8698903592597,22.9718994053429,-0.2,0.2,0,0,-3.7,-0.5,-4.2,-0.2
"68","Bernie Fryer","SG",24,"POR",80,0,1674,226,491,0.46,0,0,0,226,491,0.46,0.46,107,135,0.793,60,99,159,279,92,10,130,187,559,1974,13.2,0.508,0,0.275,3.6,6.1,4.9,21.5,2.4,0.3,18.3449382451842,16.7895619537643,1.2,0.3,1.6,0.046,-1.2,-0.5,-1.7,0.1
"69","Dick Garrett","SG",27,"TOT",40,0,326,43,126,0.341,0,0,0,43,126,0.341,0.341,15,19,0.789,15,25,40,23,10,1,28,56,101,1974,6.3,0.376,0,0.151,4.9,7.8,6.4,9.1,1.4,0.2,16.6836553925152,21.694259319681,-0.6,0.4,-0.2,-0.034,-5.3,-0.4,-5.8,-0.4
"70","Rowland Garrett","SF",23,"CHI",41,0,373,68,184,0.37,0,0,0,68,184,0.37,0.37,21,32,0.656,31,39,70,11,5,9,22,43,157,1974,9.2,0.396,0,0.174,8.5,11,9.7,4.5,0.6,1.3,10.5256557174665,23.9753239057196,-0.5,0.4,-0.1,-0.011,-4,-1.6,-5.6,-0.4
"71","Jim Garvin","PF",23,"BUF",6,0,11,1,4,0.25,0,0,0,1,4,0.25,0.25,0,0,0,1,4,5,0,0,0,3,1,2,1974,3.9,0.25,0,0,9.3,35.2,22.6,0,0,0,45.1717907377011,24.6292148027869,0,0,0,-0.134,-4.7,-0.3,-5,0
"72","John Gianelli","C",23,"NYK",70,0,1423,208,434,0.479,0,0,0,208,434,0.479,0.479,92,121,0.76,110,233,343,77,23,42,73,159,508,1974,13,0.521,0,0.279,8.2,17.2,12.7,7.4,0.7,1.6,12.4851031917962,16.0350838410064,1.5,2.1,3.6,0.121,-0.6,0.4,-0.1,0.7
"73","Dick Gibbs","SF",25,"SEA",71,0,1528,302,700,0.431,0,0,0,302,700,0.431,0.431,162,201,0.806,91,132,223,79,39,18,94,195,766,1974,12.4,0.486,0,0.287,5.5,8.8,7.1,7.3,1.1,0.6,10.7833945302558,22.1340547945364,1.3,0.8,2.1,0.065,-1.4,-1.4,-2.8,-0.3
"74","Herm Gilliam","PG",27,"ATL",62,0,2003,384,846,0.454,0,0,0,384,846,0.454,0.454,106,134,0.791,61,206,267,355,134,18,163,190,874,1974,15.8,0.483,0,0.158,3,10.5,6.7,24.6,2.9,0.5,14.9968009027445,20.8754924281089,1.4,2.1,3.4,0.082,-0.3,0.7,0.4,1.2
"75","Gail Goodrich*","SG",30,"LAL",82,0,3061,784,1773,0.442,0,0,0,784,1773,0.442,0.442,508,588,0.864,95,155,250,427,126,12,299,227,2076,1974,18.5,0.511,0,0.332,3,4.5,3.7,21.8,1.8,0.2,13.1825037999939,29.5624935061638,5.9,1.9,7.8,0.122,1.7,-1.5,0.2,1.7
"76","Travis Grant","SF",24,"LAL",3,0,6,1,4,0.25,0,0,0,1,4,0.25,0.25,1,3,0.333,0,1,1,0,0,0,5,1,3,1974,-1.5,0.282,0,0.75,0,14.6,7.6,0,0,0,48.4397524635727,45.1908897332972,-0.1,0,0,-0.386,-5,-0.3,-5.3,0
"77","Lamar Green","PF",26,"PHO",72,0,1103,129,317,0.407,0,0,0,129,317,0.407,0.407,38,68,0.559,85,265,350,43,32,38,71,150,296,1974,9.6,0.427,0,0.215,7.9,24.1,16.1,5,1.3,1.7,16.5711425128546,14.9217319615904,-0.6,1.1,0.5,0.023,-2.9,-0.4,-3.3,-0.4
"78","Matt Guokas","SG",29,"TOT",75,0,1871,195,396,0.492,0,0,0,195,396,0.492,0.492,39,60,0.65,31,90,121,238,54,21,89,150,429,1974,9.1,0.508,0,0.152,1.7,4.9,3.4,15.9,1.3,0.6,17.5600621078326,11.0907636013048,1.1,0.4,1.5,0.04,-1.5,-0.4,-1.9,0
"79","Happy Hairston","PF",31,"LAL",77,0,2634,385,759,0.507,0,0,0,385,759,0.507,0.507,343,445,0.771,335,705,1040,208,64,17,255,264,1113,1974,17.2,0.583,0,0.586,12.1,23.5,18,10.5,1,0.3,20.5557591517264,16.3431348618041,5.6,3.7,9.3,0.17,1.4,-0.6,0.7,1.8
"80","Phil Hankinson","SF",22,"BOS",28,0,163,50,103,0.485,0,0,0,50,103,0.485,0.485,10,13,0.769,22,28,50,4,3,1,5,18,110,1974,18.1,0.506,0,0.126,13.4,16.2,14.8,4,0.8,0.3,5.18061266878399,25.8156233199364,0.3,0.2,0.5,0.143,-0.5,-1.1,-1.6,0.1
